run_id,summary_path,metrics_path,metrics_exists,dataset,model,initialization,cohort,k,subset_seed,train_seed,augmentation,method_name,series_key,series_label,recipe_key,epochs,best_epoch,best_val_acc,test_acc,test_loss
scratch/cifar100/resnet50/k20/augmix/e100_s0_t0_c8bf20edf,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\augmix\e100_s0_t0_c8bf20edf\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\augmix\e100_s0_t0_c8bf20edf\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,augmix,AugMix,"augmix|{""cohort"":""historical_from_scratch"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.1,""lr_gamma"":0.2,""lr_milestones"":[30,60,80],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",AugMix [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.1,""lr_gamma"":0.2,""lr_milestones"":[30,60,80],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,91,0.077,0.0739,4.07862320022583
scratch/cifar100/resnet50/k20/cutmix/e100_s0_t0_c41c5c2ae,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\cutmix\e100_s0_t0_c41c5c2ae\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\cutmix\e100_s0_t0_c41c5c2ae\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,cutmix,CutMix,"cutmix|{""alpha"":1.0,""cohort"":""historical_from_scratch"",""pretrained"":false,""probability"":0.5,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",CutMix [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,82,0.1456,0.1489,3.886029984664917
scratch/cifar100/resnet50/k20/mixup/e100_s0_t0_c644bf1db,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\mixup\e100_s0_t0_c644bf1db\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\mixup\e100_s0_t0_c644bf1db\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,mixup,MixUp,"mixup|{""alpha"":1,""cohort"":""historical_from_scratch"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",MixUp [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,77,0.1324,0.1367,3.9204557231903077
scratch/cifar100/resnet50/k20/none/e100_s0_t0_cbe7e36c5,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\none\e100_s0_t0_cbe7e36c5\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\none\e100_s0_t0_cbe7e36c5\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,none,Crop+Flip only,"none|{""cohort"":""historical_from_scratch"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",Crop+Flip only [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,52,0.1688,0.1626,4.653195323181152
scratch/cifar100/resnet50/k20/raw/e100_s0_t0_c92818df6,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\raw\e100_s0_t0_c92818df6\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\raw\e100_s0_t0_c92818df6\metrics.csv,True,cifar100,resnet50,scratch,current,20,0,0,raw,No augmentation,"raw|{""cohort"":""current"",""pretrained"":false,""training_recipe"":{""batch_size"":32,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",No augmentation [scratch],"{""batch_size"":32,""cohort"":""current"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,38,0.1512,0.1539,5.177276595306396
scratch/cifar100/resnet50/k20/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_c38d553d5,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\simcutmix\class_agnostic_k40_r21-40\e100_s0_t0_c38d553d5\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\simcutmix\class_agnostic_k40_r21-40\e100_s0_t0_c38d553d5\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,simcutmix,SimCutMix,"simcutmix|{""alpha"":1,""anchor_score_power"":1,""anchor_selection"":""top_fraction"",""anchor_top_pct"":0.2,""cohort"":""historical_from_scratch"",""dynamic_neighbor_pool"":false,""guided_mode"":""class_agnostic"",""mix_probability"":1,""neighbor_k"":20,""neighbor_rank_start"":21,""pair_sampling"":""uniform"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005},""warmup_epochs"":0}","SimCutMix [scratch] (class-agnostic, ranks 21–40)","{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,73,0.1632,0.164,3.7322697551727293
scratch/cifar100/resnet50/k20/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_cc94b9e96,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\simmixup\class_agnostic_k40_r21-40\e100_s0_t0_cc94b9e96\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k20\simmixup\class_agnostic_k40_r21-40\e100_s0_t0_cc94b9e96\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,20,0,0,simmixup,SimMixUp,"simmixup|{""alpha"":1,""anchor_score_power"":1,""anchor_selection"":""top_fraction"",""anchor_top_pct"":0.2,""cohort"":""historical_from_scratch"",""dynamic_neighbor_pool"":false,""guided_mode"":""class_agnostic"",""mix_probability"":1,""neighbor_k"":20,""neighbor_rank_start"":21,""pair_sampling"":""uniform"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005},""warmup_epochs"":0}","SimMixUp [scratch] (class-agnostic, ranks 21–40)","{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":20,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":2000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,82,0.1618,0.1673,3.736964609146118
scratch/cifar100/resnet50/k50/augmix/e100_s0_t0_ccbadd019,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\augmix\e100_s0_t0_ccbadd019\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\augmix\e100_s0_t0_ccbadd019\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,50,0,0,augmix,AugMix,"augmix|{""cohort"":""historical_from_scratch"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.1,""lr_gamma"":0.2,""lr_milestones"":[30,60,80],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",AugMix [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":50,""lr"":0.1,""lr_gamma"":0.2,""lr_milestones"":[30,60,80],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":5000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,99,0.2832,0.2798,3.3113499534606934
scratch/cifar100/resnet50/k50/cutmix/e100_s0_t0_c34b9e550,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\cutmix\e100_s0_t0_c34b9e550\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\cutmix\e100_s0_t0_c34b9e550\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,50,0,0,cutmix,CutMix,"cutmix|{""alpha"":1.0,""cohort"":""historical_from_scratch"",""pretrained"":false,""probability"":0.5,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",CutMix [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":50,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":5000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,92,0.2658,0.258,3.2012987815856935
scratch/cifar100/resnet50/k50/mixup/e100_s0_t0_c93ae9378,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\mixup\e100_s0_t0_c93ae9378\summary.json,C:\Users\nicol\OneDrive\Documentos\Master\SRP-Augmentation\results\comparison_v1\scratch\cifar100\resnet50\k50\mixup\e100_s0_t0_c93ae9378\metrics.csv,True,cifar100,resnet50,scratch,historical_from_scratch,50,0,0,mixup,MixUp,"mixup|{""alpha"":1,""cohort"":""historical_from_scratch"",""pretrained"":false,""training_recipe"":{""batch_size"":64,""epochs"":100,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""momentum"":0.9,""nesterov"":true,""optimizer"":""sgd"",""weight_decay"":0.0005}}",MixUp [scratch],"{""batch_size"":64,""cohort"":""historical_from_scratch"",""dataset"":""cifar100"",""epochs"":100,""k"":50,""lr"":0.01,""lr_gamma"":0.1,""lr_milestones"":[30,55,75],""model"":""resnet50"",""momentum"":0.9,""nesterov"":true,""num_test"":10000,""num_train"":5000,""num_val"":5000,""optimizer"":""sgd"",""pretrained"":false,""subset_seed"":0,""train_seed"":0,""weight_decay"":0.0005}",100,72,0.231,0.2365,3.3733588871002196
