epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.471359424591064,0.053,3.823595979309082,0.2202
2,0.01,2.8664515304565428,0.298,2.1893838287353518,0.4124
3,0.01,1.7461600799560546,0.524,1.9107323516845702,0.4972
4,0.01,1.2865037727355957,0.6345,1.9121267948150635,0.5012
5,0.01,0.9243287353515625,0.7235,1.8058372673034668,0.535
6,0.01,0.686685772895813,0.789,1.720967790222168,0.5714
7,0.01,0.5257178270816802,0.8465,1.868049866104126,0.5504
8,0.01,0.42618627774715423,0.8745,1.8626009592056274,0.5712
9,0.01,0.35826950073242186,0.902,1.8374084964752198,0.5746
10,0.01,0.3324279357790947,0.908,1.905705340576172,0.5734
11,0.01,0.2879766948223114,0.9185,1.8662943386077882,0.5818
12,0.01,0.2313676257133484,0.933,1.8855263774871827,0.579
13,0.01,0.20675203317403792,0.9475,2.0225288505554198,0.5686
14,0.01,0.2055313835144043,0.94,1.9548911125183106,0.5788
15,0.01,0.21489687460660933,0.94,2.108271971130371,0.5642
16,0.01,0.19652843376994134,0.948,2.0973236656188963,0.5666
17,0.01,0.15247388264536857,0.9535,2.0951088897705077,0.5642
18,0.01,0.1569525053203106,0.958,2.061117588043213,0.571
19,0.01,0.14583318701386452,0.9605,2.0612543128967284,0.5712
20,0.01,0.13964590901136398,0.961,1.9805561332702637,0.5942
21,0.01,0.10891439636051654,0.9715,1.9525874752044678,0.6028
22,0.01,0.11329244653880596,0.9685,2.08461958694458,0.586
23,0.01,0.117837387368083,0.9665,2.132511930847168,0.5706
24,0.01,0.1131725796610117,0.9715,2.0790540172576906,0.5706
25,0.01,0.09246697622537613,0.978,2.096285454559326,0.585
26,0.01,0.09504139935970306,0.9735,2.0574597270965578,0.5902
27,0.01,0.1225471234023571,0.9655,2.037937328338623,0.584
28,0.01,0.09893424816429615,0.9715,2.12067685546875,0.5762
29,0.01,0.0856008935533464,0.9795,2.1103850158691406,0.5876
30,0.01,0.09122512581199407,0.9775,2.1653535316467285,0.572
31,0.001,0.05649872416257858,0.9865,2.064784553909302,0.5856
32,0.001,0.0599646630436182,0.9845,1.9995521255493165,0.5934
33,0.001,0.06347735729068518,0.9845,2.028655551147461,0.5946
34,0.001,0.04036463323235512,0.991,1.9933739032745361,0.6018
35,0.001,0.04229175427556038,0.988,1.9841715274810792,0.6004
36,0.001,0.03892193043977022,0.9905,1.9564778961181641,0.6054
37,0.001,0.037210618812590836,0.9915,1.9837451351165771,0.6062
38,0.001,0.03643282504938543,0.992,1.9429237728118895,0.607
39,0.001,0.02523731081932783,0.9935,1.950886608505249,0.607
40,0.001,0.027620744908228516,0.9945,1.9366028633117676,0.613
41,0.001,0.032977766247466206,0.991,1.9399280731201172,0.6128
42,0.001,0.03426988595724106,0.9925,1.9328806468963624,0.613
43,0.001,0.028683151584118605,0.9945,1.9342966751098634,0.6112
44,0.001,0.03270997456274927,0.9945,1.936234363937378,0.613
45,0.001,0.023869387838989495,0.9955,1.91450004196167,0.6156
46,0.001,0.03194591508433223,0.9935,1.928485283279419,0.6136
47,0.001,0.028697382410988213,0.994,1.9275911136627197,0.6162
48,0.001,0.03344904575869441,0.9905,1.942914295578003,0.6144
49,0.001,0.036160126995295284,0.991,1.916058010482788,0.6144
50,0.001,0.025749931713566186,0.992,1.9265820396423339,0.6156
51,0.001,0.0265346431331709,0.993,1.911397889328003,0.6156
52,0.001,0.03299693681299686,0.993,1.911997141647339,0.6164
53,0.001,0.022505607254803182,0.9945,1.927550044631958,0.6176
54,0.001,0.023269592475146057,0.995,1.896417862701416,0.6208
55,0.001,0.025588055688887834,0.995,1.9112488800048828,0.6172
56,0.0001,0.035478369838558135,0.991,1.8743605457305907,0.6216
57,0.0001,0.01925775759201497,0.997,1.8860931427001952,0.623
58,0.0001,0.022880829073488713,0.995,1.8943380027770995,0.6192
59,0.0001,0.02422031620144844,0.9935,1.9056384899139405,0.6194
60,0.0001,0.02400110427848995,0.994,1.9122903999328613,0.6204
61,0.0001,0.028282349655404687,0.9945,1.888390016555786,0.6186
62,0.0001,0.018241370715200902,0.9965,1.9188359577178955,0.6202
63,0.0001,0.025636495413258673,0.9935,1.9091204410552978,0.6168
64,0.0001,0.02106460384838283,0.9955,1.8950728820800782,0.62
65,0.0001,0.02996173870936036,0.991,1.8895058116912842,0.6192
66,0.0001,0.02292501099500805,0.996,1.8822166637420654,0.6196
67,0.0001,0.01919045141711831,0.9955,1.9002091613769532,0.615
68,0.0001,0.02120230317860842,0.9945,1.8836384532928467,0.6196
69,0.0001,0.030138083117082715,0.9925,1.8919063201904296,0.6214
70,0.0001,0.01917939668521285,0.9975,1.8918865062713623,0.618
71,0.0001,0.020824447901919483,0.9945,1.8966104133605957,0.6198
72,0.0001,0.025227010468021036,0.9915,1.8946932426452636,0.6224
73,0.0001,0.025881295019760726,0.993,1.8773822204589843,0.6228
74,0.0001,0.02484430689550936,0.994,1.8923071479797364,0.6194
75,0.0001,0.020617654360830785,0.996,1.8831987571716309,0.622
76,1e-05,0.025601545986719428,0.995,1.903484587097168,0.6194
77,1e-05,0.022270418865606188,0.995,1.8864677425384522,0.6236
78,1e-05,0.027356786400079727,0.992,1.8988699127197266,0.6198
79,1e-05,0.028231356430798767,0.993,1.8787237720489502,0.6264
80,1e-05,0.026338735872879625,0.994,1.8555924354553224,0.62
81,1e-05,0.019846977829933166,0.9955,1.8904635375976562,0.6214
82,1e-05,0.026264210360124707,0.9925,1.8739766204833985,0.6222
83,1e-05,0.0202912694811821,0.9965,1.8876404384613037,0.621
84,1e-05,0.02178938550595194,0.9935,1.8883952518463134,0.6194
85,1e-05,0.019596422586590053,0.997,1.8639570289611815,0.6206
86,1e-05,0.019504893286153673,0.9955,1.901641762161255,0.6194
87,1e-05,0.018268701892346143,0.996,1.8860779392242433,0.6172
88,1e-05,0.025262711979448797,0.9955,1.8885529041290283,0.6214
89,1e-05,0.017136228997260333,0.9965,1.8972246280670166,0.62
90,1e-05,0.0223036536462605,0.995,1.8680141834259034,0.6204
91,1e-05,0.014392802450805903,0.998,1.8749308055877685,0.6208
92,1e-05,0.022485032174736262,0.9955,1.891050724029541,0.6202
93,1e-05,0.02191031385026872,0.9945,1.8867597534179688,0.6208
94,1e-05,0.023597379201091825,0.9945,1.8771233600616455,0.6222
95,1e-05,0.02053250893391669,0.9955,1.8864194511413575,0.6208
96,1e-05,0.025248696580529213,0.995,1.8740624240875243,0.6202
97,1e-05,0.02550617127493024,0.995,1.8883624950408935,0.6174
98,1e-05,0.020242869095876814,0.996,1.8848390357971192,0.6202
99,1e-05,0.02504057445563376,0.994,1.8741381496429443,0.622
100,1e-05,0.02755286892876029,0.994,1.8945988536834717,0.6196
