epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,3.068633171463013,0.285,1.7203318077087402,0.5322
2,0.01,1.3322768096923827,0.6192,1.586311792755127,0.5636
3,0.01,0.8154934907913208,0.7532,1.4298970565795899,0.6218
4,0.01,0.5767988078117371,0.8204,1.3568380556106567,0.6416
5,0.01,0.36994573760032656,0.8872,1.3599368717193603,0.6574
6,0.01,0.2681263168811798,0.92,1.4410252828598022,0.6512
7,0.01,0.21302389171123504,0.9348,1.3912735193252563,0.6722
8,0.01,0.14888509702682495,0.9558,1.4031243942260743,0.6784
9,0.01,0.1167188945055008,0.9672,1.4260461975097656,0.6716
10,0.01,0.0981546690940857,0.9722,1.4319783847808838,0.6784
11,0.01,0.08190880673527717,0.978,1.446797582244873,0.6908
12,0.01,0.0767469662591815,0.9794,1.4007275964736938,0.6928
13,0.01,0.0610543076813221,0.9844,1.4857243091583252,0.6822
14,0.01,0.064925878842175,0.9826,1.4230352426528932,0.689
15,0.01,0.059798834246397016,0.9852,1.3950303342819215,0.6928
16,0.01,0.03709017446488142,0.9914,1.3756397010803223,0.6958
17,0.01,0.029358275532722473,0.994,1.345236809158325,0.7062
18,0.01,0.02362670826911926,0.995,1.3886334465026855,0.7056
19,0.01,0.025842421980202198,0.9936,1.438185043334961,0.6956
20,0.01,0.024316803622990848,0.9938,1.4075024253845214,0.7002
21,0.01,0.04302340509444475,0.989,1.4302039710998535,0.6906
22,0.01,0.030037897334992885,0.994,1.44136612033844,0.6948
23,0.01,0.024804696887731553,0.9946,1.3949070554733276,0.7012
24,0.01,0.024881483593583106,0.9936,1.4489621965408326,0.6914
25,0.01,0.018247193252667784,0.996,1.4511059593200684,0.686
26,0.01,0.018145684677362443,0.9968,1.390010008430481,0.6984
27,0.01,0.018761959382146597,0.9954,1.4336383251190186,0.6966
28,0.01,0.019638134001940487,0.995,1.3966556421279908,0.7064
29,0.01,0.018260479504615068,0.9958,1.495589604949951,0.683
30,0.01,0.03039870487600565,0.9926,1.4581351650238037,0.689
31,0.001,0.01809502238705754,0.9964,1.378833369064331,0.7028
32,0.001,0.012744171892479061,0.998,1.3622092590332031,0.7104
33,0.001,0.007799363833665847,0.9996,1.368721375465393,0.7126
34,0.001,0.0077393721032887695,0.999,1.3318429956436157,0.716
35,0.001,0.005537317778915167,0.9994,1.3239506032943726,0.7184
36,0.001,0.0062362130612134935,0.9996,1.3494887909889222,0.7178
37,0.001,0.00694295338653028,0.9994,1.3423058605194091,0.716
38,0.001,0.0056905386615544555,0.9998,1.331693772506714,0.7186
39,0.001,0.004525228569284082,0.9998,1.3184822546005248,0.721
40,0.001,0.005154071148484945,0.9994,1.3077957077026368,0.7222
41,0.001,0.0038101654551923273,1.0,1.3326870344161987,0.7194
42,0.001,0.004917456787079572,0.9996,1.2977819564819335,0.7162
43,0.001,0.004407728328928351,0.9994,1.3059248710632325,0.7218
44,0.001,0.00405469685010612,1.0,1.3297094791412354,0.721
45,0.001,0.003997696963325143,1.0,1.3189544933319093,0.7188
46,0.001,0.0034110031457617877,1.0,1.290107606124878,0.7242
47,0.001,0.0030839032262563707,1.0,1.3039907600402831,0.7234
48,0.001,0.004853468038886786,0.9994,1.2979230201721192,0.7248
49,0.001,0.0040317257951945065,0.9998,1.2993163925170899,0.7248
50,0.001,0.0037872399017214774,0.9998,1.3011062755584717,0.7214
51,0.001,0.0034958740934729576,0.9998,1.3153845417022705,0.7198
52,0.001,0.00328201199285686,0.9998,1.297373327255249,0.7242
53,0.001,0.0033369667645543814,1.0,1.2874586557388306,0.7244
54,0.001,0.004410650391504169,0.9996,1.2892540225982665,0.7282
55,0.001,0.0033712231228128077,0.9996,1.2936786930084228,0.7214
56,0.0001,0.0024632953971624374,1.0,1.3168664907455445,0.7246
57,0.0001,0.003960575100407004,0.9998,1.3058519214630127,0.7268
58,0.0001,0.003036099396646023,0.9998,1.2945094816207885,0.7242
59,0.0001,0.0035695704575628043,0.9998,1.292308156967163,0.7218
60,0.0001,0.002873910650983453,0.9998,1.3079158250808716,0.7258
61,0.0001,0.00302173810955137,0.9998,1.2861683095932006,0.723
62,0.0001,0.003054794329032302,1.0,1.2856391931533813,0.7256
63,0.0001,0.00328653668332845,0.9998,1.3197955129623413,0.7224
64,0.0001,0.00311843737103045,0.9998,1.296375803756714,0.7198
65,0.0001,0.0031380144957453013,1.0,1.303883186531067,0.726
66,0.0001,0.0029988051373511554,1.0,1.3024242748260497,0.725
67,0.0001,0.0031766451044008136,1.0,1.2798914972305298,0.7268
68,0.0001,0.0027298357382416726,0.9998,1.29030077419281,0.7218
69,0.0001,0.0029644194500520827,1.0,1.307538635635376,0.7248
70,0.0001,0.0031097617983818055,0.9998,1.3016275653839111,0.7254
71,0.0001,0.002541804790217429,1.0,1.2851806291580201,0.7274
72,0.0001,0.0034357668131589887,1.0,1.3174281177520752,0.7236
73,0.0001,0.002992398837953806,0.9998,1.297355864906311,0.7246
74,0.0001,0.003018190697953105,1.0,1.2976771730422973,0.729
75,0.0001,0.0029525636963546277,1.0,1.2956995445251465,0.7276
76,1e-05,0.0026417915450409053,1.0,1.3115156648635864,0.7228
77,1e-05,0.003247006468474865,0.9998,1.302527215194702,0.7248
78,1e-05,0.003225200624205172,1.0,1.2897320384979247,0.7268
79,1e-05,0.0027187853222712874,1.0,1.270208031463623,0.7256
80,1e-05,0.003489211531355977,0.9996,1.310028353691101,0.7252
81,1e-05,0.002852049326337874,0.9998,1.2970060647010804,0.7254
82,1e-05,0.002687236273661256,1.0,1.2861265636444092,0.726
83,1e-05,0.002947904016636312,1.0,1.2909049621582032,0.7226
84,1e-05,0.0037628601245582104,0.9996,1.2897828237533568,0.7244
85,1e-05,0.0026196093831211326,1.0,1.2864442741394042,0.727
86,1e-05,0.0034275236558169125,0.9998,1.294957128715515,0.7268
87,1e-05,0.0030725158529356124,1.0,1.2804053091049195,0.725
88,1e-05,0.002649758166074753,1.0,1.3043132701873779,0.73
89,1e-05,0.003147923281043768,0.9998,1.2840622909545898,0.7282
90,1e-05,0.0027491028366610406,1.0,1.3035883460998534,0.7248
91,1e-05,0.0024194859664887188,1.0,1.2879370673179626,0.7264
92,1e-05,0.0032024453278630973,0.9996,1.2834147336959838,0.7276
93,1e-05,0.0033110815312713386,0.9998,1.2972624540328979,0.7266
94,1e-05,0.003269957996159792,0.9998,1.286441735649109,0.7276
95,1e-05,0.0029399583222344517,1.0,1.3025931509017945,0.724
96,1e-05,0.002824063040316105,0.9998,1.2914323347091674,0.7246
97,1e-05,0.0038241042479872705,0.9996,1.2751142330169678,0.7288
98,1e-05,0.003141170160099864,0.9998,1.2867850790023803,0.7272
99,1e-05,0.003423018405586481,0.9998,1.3110739433288574,0.7234
100,1e-05,0.0029960046600550415,0.9998,1.3067514657974244,0.7244
