epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,3.025246315765381,0.2928,1.6519647789001466,0.549
2,0.01,1.2058737747192383,0.642,1.41571918964386,0.599
3,0.01,0.5859585583686828,0.8236,1.3079397525787353,0.643
4,0.01,0.30960415573120115,0.907,1.2971951610565187,0.666
5,0.01,0.1509473174214363,0.9544,1.2281450263977052,0.681
6,0.01,0.10205576578378678,0.9746,1.2761985816955566,0.6772
7,0.01,0.053514076623320576,0.988,1.207949119567871,0.7106
8,0.01,0.02710432448089123,0.9958,1.2003952493667602,0.7114
9,0.01,0.022141988727450372,0.9956,1.2002114572525024,0.711
10,0.01,0.018016997945308685,0.9966,1.2596783931732178,0.6944
11,0.01,0.010408414773643017,0.9996,1.176341498565674,0.7144
12,0.01,0.007466041428595781,0.9992,1.1589855895996093,0.7196
13,0.01,0.0114359582580626,0.9984,1.1941171657562255,0.7096
14,0.01,0.010523525572568177,0.9986,1.1730680097579955,0.7166
15,0.01,0.006297173911333084,0.9996,1.2018254369735717,0.712
16,0.01,0.005612913467735052,0.9994,1.1796884574890136,0.7196
17,0.01,0.005033959546685219,0.9996,1.1618578058242799,0.7278
18,0.01,0.005154767789319158,0.9992,1.1542547273635864,0.726
19,0.01,0.0035127900134772063,1.0,1.138653862953186,0.728
20,0.01,0.0034693457387387754,1.0,1.1366680879592896,0.7268
21,0.01,0.0032142367616295815,1.0,1.1421333425521851,0.7298
22,0.01,0.004453660079836845,0.9992,1.1445918590545654,0.7262
23,0.01,0.004484466730803252,0.9998,1.1161128091812134,0.7304
24,0.01,0.003803612842783332,1.0,1.1227854713439942,0.7282
25,0.01,0.004212167984992266,0.9998,1.1445561414718628,0.7244
26,0.01,0.0115000980168581,0.9986,1.1485235116958619,0.7166
27,0.01,0.00657858810275793,0.9992,1.1787328340530396,0.7222
28,0.01,0.014107195303589106,0.9974,1.187786915588379,0.7108
29,0.01,0.017462380823493003,0.9972,1.2225421556472778,0.7016
30,0.01,0.021720504973828793,0.9962,1.3291063049316407,0.685
