epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,3.437859482192993,0.20248538017868994,1.94065196685791,0.4764
2,0.01,2.074211576080322,0.4425661916255951,1.3728413908004762,0.6056
3,0.01,1.7312615295410156,0.5268858431339264,1.2085004615783692,0.6552
4,0.01,1.5934830713272095,0.5646231488227844,1.196728929901123,0.6672
5,0.01,1.506562526512146,0.5938081683158875,1.1791146392822265,0.6696
6,0.01,1.371608692741394,0.634289868068695,1.104575790786743,0.6938
7,0.01,1.2858740196228027,0.6578567625999451,1.127524586582184,0.685
8,0.01,1.2329642555236817,0.6623923879623413,1.083475433921814,0.6968
9,0.01,1.2085977369308472,0.6762467912673951,1.119755905342102,0.6948
10,0.01,1.1614014869689941,0.6848819421768189,1.1357456684112548,0.6914
11,0.01,1.1655962894439698,0.6740469005584717,1.1022102234840394,0.698
12,0.01,1.0687926533699035,0.7167280688285828,1.1450045305252075,0.6952
13,0.01,1.1411340084075927,0.6661201469421387,1.1768929770469665,0.6918
14,0.01,1.0420982495307922,0.715868155670166,1.07035959815979,0.7078
15,0.01,1.0161304382324219,0.7187586114883423,1.138864275932312,0.7016
16,0.01,1.0199835236549377,0.710628415107727,1.098791752433777,0.7038
17,0.01,0.9867168737411499,0.7162868794441223,1.1162673040390014,0.7042
18,0.01,0.9759199460983277,0.7176042852401734,1.109553938293457,0.7072
19,0.01,1.016563294696808,0.6966963455200196,1.114087301826477,0.702
20,0.01,0.9342790140151978,0.7347819857597351,1.0714298166275025,0.7152
21,0.01,0.9555323706626893,0.725112958908081,1.134579892730713,0.7014
22,0.01,0.9571705756187439,0.7268867282867432,1.1172131414413453,0.7078
23,0.01,0.9561668352127075,0.7159386678695678,1.1927243469238282,0.698
24,0.01,0.9754201641082764,0.7138752910614014,1.1487723587036134,0.7018
25,0.01,0.9438940950393677,0.717604949426651,1.1527887748718262,0.7014
26,0.01,0.9382614429235459,0.7178938326835632,1.1641969646453858,0.6914
27,0.01,0.9258420943260193,0.7254082067489624,1.1458629291534423,0.691
28,0.01,0.9159761909008026,0.7251900550842285,1.1071696496963501,0.704
29,0.01,0.9276621443748474,0.7124177408218384,1.163249704360962,0.697
30,0.01,0.9396449039936066,0.705795202922821,1.2130009229660035,0.6916
31,0.001,0.8598302678108215,0.729825848197937,1.1203735382080078,0.7174
32,0.001,0.804826200580597,0.7455693920135498,1.0714716033935547,0.7266
33,0.001,0.8082289954662323,0.7382030198097229,1.0494880922317504,0.7276
34,0.001,0.7952235529661179,0.7428674079895019,1.0338676822662354,0.7322
35,0.001,0.7990263695001603,0.7414538776397706,1.0572692222595215,0.7354
36,0.001,0.7444032680988312,0.7602748264312744,1.0252906253814698,0.7328
37,0.001,0.7772144730567933,0.7476006935119629,1.0570606763839723,0.7372
38,0.001,0.7824754431307316,0.7354132013320923,1.0693469583511352,0.7334
39,0.001,0.7753579911231995,0.7458179504394531,1.0602068113327026,0.7362
40,0.001,0.7400009420156479,0.7501871711730957,1.0137690803527832,0.7352
41,0.001,0.7761551369190216,0.7324357535362244,1.0758039916992188,0.7318
42,0.001,0.7549186734676361,0.7466662664413453,1.0588866821289062,0.7354
43,0.001,0.7712222197532653,0.7365245583534241,1.043910315322876,0.7358
44,0.001,0.7305185210466385,0.7520381740570068,1.0134672887802123,0.7356
45,0.001,0.7423418599128723,0.7393202575683594,1.0249607347488403,0.7386
46,0.001,0.6958599636554718,0.7668494132995606,1.0234970951080322,0.7368
47,0.001,0.7605701100826263,0.7359749750137329,1.0685148014068604,0.7374
48,0.001,0.7188401198863983,0.7501260501861572,1.0433245708465577,0.7362
49,0.001,0.7573459018230438,0.7451520265579223,1.0348165031433105,0.739
50,0.001,0.7408546664714813,0.7500482593536377,1.0122817893981935,0.7412
51,0.001,0.7162972016334533,0.7564219572067261,1.0124359716415405,0.739
52,0.001,0.7147284925222397,0.7558727571487427,1.0079795749664306,0.7388
53,0.001,0.7036135713338852,0.7545290356636047,1.0333794095993043,0.739
