epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.1,5.584249684143066,0.011,4.663351934814453,0.0162
2,0.1,4.56530463256836,0.0127,4.554930473327636,0.0186
3,0.1,4.544330958557129,0.0176,4.520220162963867,0.0232
4,0.1,4.5147708267211915,0.0193,4.484425595092773,0.0218
5,0.1,4.479413744354248,0.0219,4.465524817657471,0.0258
6,0.1,4.429884684753418,0.0259,4.35861222076416,0.032
7,0.1,4.3349265953063965,0.0293,4.304061996459961,0.032
8,0.1,4.252250720214843,0.0366,4.1733319190979,0.0474
9,0.1,4.1835741065979,0.0482,4.110964430618286,0.0654
10,0.1,4.103356126403809,0.0516,4.0300321228027345,0.0636
11,0.1,4.044646446228027,0.0642,4.040859395599365,0.0678
12,0.1,3.9907371646881105,0.0664,3.9327605628967284,0.0772
13,0.1,3.952779691314697,0.0732,3.977266519165039,0.075
14,0.1,3.8947181385040284,0.0888,3.7985261428833006,0.1016
15,0.1,3.846428630065918,0.093,3.7267394752502443,0.1106
16,0.1,3.782490934753418,0.1063,3.8815367309570314,0.0986
17,0.1,3.720451171875,0.1117,3.6798658599853518,0.1176
18,0.1,3.67444705619812,0.1199,3.7046411529541015,0.1182
19,0.1,3.6132790908813477,0.1322,3.675152006530762,0.1226
20,0.1,3.5593360904693605,0.1377,3.7406278839111327,0.132
21,0.1,3.4877755172729494,0.154,3.5463733436584475,0.1546
22,0.1,3.436118571853638,0.1614,3.617996427154541,0.15
23,0.1,3.3903690101623534,0.1747,3.5110410537719727,0.159
24,0.1,3.331068822479248,0.1884,3.5816369987487793,0.16
25,0.1,3.2861114780426024,0.1939,3.2896728076934814,0.1984
26,0.1,3.224980676651001,0.1995,3.4021573608398437,0.1778
27,0.1,3.1580815826416018,0.2169,3.3562878578186037,0.1906
28,0.1,3.1285974769592286,0.2169,3.3975880638122558,0.2068
29,0.1,3.064085762786865,0.2291,3.2699657470703123,0.204
30,0.1,2.999773812866211,0.2419,3.1553643295288087,0.2282
31,0.020000000000000004,2.645588990020752,0.317,2.701753970336914,0.315
32,0.020000000000000004,2.5201875038146975,0.335,2.7201033508300783,0.3118
33,0.020000000000000004,2.453650909423828,0.3521,2.6862532974243165,0.3248
34,0.020000000000000004,2.3907681537628176,0.3708,2.663242226409912,0.3344
35,0.020000000000000004,2.3650231826782226,0.3725,2.687261834335327,0.3312
36,0.020000000000000004,2.328676934432983,0.3769,2.621445745849609,0.3482
37,0.020000000000000004,2.270253367614746,0.3909,2.629422290802002,0.3456
38,0.020000000000000004,2.2298010120391845,0.4013,2.578305290222168,0.352
39,0.020000000000000004,2.1925544471740723,0.413,2.544127981567383,0.354
40,0.020000000000000004,2.1636891632080077,0.4162,2.5197714660644532,0.3622
41,0.020000000000000004,2.120668893623352,0.4271,2.6068681564331055,0.3628
42,0.020000000000000004,2.088045653152466,0.4348,2.793701065826416,0.3388
43,0.020000000000000004,2.042300025177002,0.4442,2.5787545642852785,0.3676
44,0.020000000000000004,2.0054234848022463,0.4472,2.5463108432769777,0.3628
45,0.020000000000000004,1.9738758125305176,0.4579,2.6033797409057615,0.3602
46,0.020000000000000004,1.9519540321350097,0.4598,2.6260957527160644,0.3538
47,0.020000000000000004,1.9095715061187744,0.4758,2.592517133331299,0.3646
48,0.020000000000000004,1.8478256061553955,0.4892,2.5459409229278562,0.3754
49,0.020000000000000004,1.819504669570923,0.4996,2.7207096649169924,0.3516
50,0.020000000000000004,1.7946944583892823,0.5042,2.7999971153259278,0.345
51,0.020000000000000004,1.7524533531188964,0.511,2.5619842510223387,0.38
52,0.020000000000000004,1.7118744611740113,0.5147,2.59481725769043,0.383
53,0.020000000000000004,1.681069921875,0.5229,2.6018821426391603,0.3824
54,0.020000000000000004,1.6420468910217285,0.5338,2.6638836742401124,0.3722
55,0.020000000000000004,1.6002058645248414,0.5506,2.583403620529175,0.3888
56,0.020000000000000004,1.5717621044158936,0.5554,2.6006026710510253,0.385
57,0.020000000000000004,1.5388234003067016,0.5648,2.555939238739014,0.3876
58,0.020000000000000004,1.489512293624878,0.5744,2.7492080169677733,0.3682
59,0.020000000000000004,1.4494988502502442,0.5836,2.640037576675415,0.3872
60,0.020000000000000004,1.4128971866607667,0.5924,2.5562656845092775,0.3946
61,0.004000000000000001,1.0826864294052123,0.6922,2.1868530937194826,0.4678
62,0.004000000000000001,0.9341468965530395,0.7361,2.2068490238189695,0.4664
63,0.004000000000000001,0.881389928817749,0.7555,2.205441318130493,0.4636
64,0.004000000000000001,0.8199965784072876,0.7764,2.2068122329711914,0.472
65,0.004000000000000001,0.7925041860580444,0.7818,2.2360450256347657,0.4678
66,0.004000000000000001,0.7650510608673096,0.7929,2.248983671569824,0.468
67,0.004000000000000001,0.7203973278999328,0.801,2.274121492385864,0.4624
68,0.004000000000000001,0.7098180833816529,0.8042,2.308796527862549,0.4618
69,0.004000000000000001,0.6673662397384643,0.8146,2.311647142791748,0.4576
70,0.004000000000000001,0.6670204970359802,0.8183,2.33208337059021,0.4568
71,0.004000000000000001,0.6258745951652527,0.8357,2.325538084030151,0.467
72,0.004000000000000001,0.6091257883071899,0.834,2.3734714153289795,0.4672
73,0.004000000000000001,0.5759514638900757,0.8432,2.39417145690918,0.4628
74,0.004000000000000001,0.569135433101654,0.8467,2.403270871734619,0.4636
75,0.004000000000000001,0.5442914452552795,0.854,2.385827630615234,0.467
76,0.004000000000000001,0.5310823019981384,0.8548,2.441310549926758,0.4572
77,0.004000000000000001,0.5177750085830688,0.8604,2.4569098724365235,0.4626
78,0.004000000000000001,0.49862671413421633,0.867,2.4678164085388183,0.4588
79,0.004000000000000001,0.4750303576469421,0.8744,2.5112772312164306,0.4612
80,0.004000000000000001,0.4657030559539795,0.8789,2.5368126598358156,0.4602
81,0.0008000000000000003,0.3847315170288086,0.9073,2.4318149768829347,0.4706
82,0.0008000000000000003,0.3589166271686554,0.9139,2.393572919845581,0.473
83,0.0008000000000000003,0.34389624452590944,0.9188,2.411536987686157,0.4722
84,0.0008000000000000003,0.3395878312110901,0.9202,2.4203367809295653,0.472
85,0.0008000000000000003,0.32781405894756316,0.9185,2.4096697189331056,0.4714
86,0.0008000000000000003,0.31525792746543885,0.9286,2.436239750289917,0.4712
87,0.0008000000000000003,0.31412762994766236,0.9276,2.419486948776245,0.474
88,0.0008000000000000003,0.31830366392135623,0.9254,2.441959420013428,0.471
89,0.0008000000000000003,0.3104346901893616,0.9294,2.4194887954711914,0.4742
90,0.0008000000000000003,0.2897763796806335,0.9356,2.4233838779449464,0.472
91,0.0008000000000000003,0.29058210353851316,0.9354,2.4173941631317137,0.4728
92,0.0008000000000000003,0.2854310872077942,0.9377,2.420085570526123,0.4738
93,0.0008000000000000003,0.2836474401473999,0.936,2.439017695236206,0.4744
94,0.0008000000000000003,0.28517942905426025,0.9392,2.441396334838867,0.4714
95,0.0008000000000000003,0.2956509816169739,0.9318,2.4519312019348143,0.4702
96,0.0008000000000000003,0.2850379069328308,0.9345,2.4390738513946535,0.4728
97,0.0008000000000000003,0.2696311746120453,0.9399,2.4603204792022706,0.4676
