epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.650920885848999,0.0303,5.729086783599853,0.0356
2,0.01,4.138269092559814,0.0621,4.547266435241699,0.0756
3,0.01,3.9196239639282227,0.0871,4.461736394500733,0.083
4,0.01,3.763037840270996,0.1012,6.521611724853516,0.1182
5,0.01,3.629408344268799,0.1255,3.88175940322876,0.1364
6,0.01,3.471384580230713,0.1582,3.8062760105133058,0.1604
7,0.01,3.312818731689453,0.1807,3.9067779361724853,0.1746
8,0.01,3.1440987266540525,0.2087,3.3585747936248778,0.1932
9,0.01,3.0115027587890624,0.2394,3.648258016204834,0.2198
10,0.01,2.8499339141845703,0.2659,3.4144492671966553,0.2224
11,0.01,2.6552616401672364,0.2975,4.384302374267578,0.2446
12,0.01,2.4662143169403077,0.3421,3.443743566131592,0.2454
13,0.01,2.247956462097168,0.3846,3.6758301361083983,0.2532
14,0.01,2.0134817874908446,0.4436,3.5728662734985353,0.2428
15,0.01,1.8277381889343263,0.478,4.2977172401428225,0.2596
16,0.01,1.5241510385513306,0.5542,4.782103866577148,0.2654
17,0.01,1.2627936219215392,0.6214,4.062290728378296,0.2272
18,0.01,1.005318713569641,0.6955,3.8246654022216795,0.2694
19,0.01,0.763950162267685,0.7621,4.487686329650879,0.2356
20,0.01,0.5730088718891144,0.8233,4.501554627990723,0.249
21,0.01,0.4155387755393982,0.8738,4.899459481048584,0.2452
22,0.01,0.28784356935024263,0.9133,4.430731505584717,0.2706
23,0.01,0.17964907999038696,0.9482,4.941180353546143,0.2602
24,0.01,0.1395298467874527,0.9647,4.681694844818115,0.2666
25,0.01,0.10959018507003784,0.9726,4.463962435150147,0.2778
26,0.01,0.06820195842087269,0.9847,4.19791130065918,0.29
27,0.01,0.0411960016310215,0.9922,3.9111659118652344,0.3188
28,0.01,0.02276213861256838,0.9971,3.713857473754883,0.3278
29,0.01,0.008710646637156606,0.9996,3.6246156753540038,0.3294
30,0.01,0.007725923727080226,0.999,3.629427267456055,0.3258
31,0.001,0.005531403015181422,0.9997,3.5887052337646486,0.3286
32,0.001,0.0045296121168881655,0.9998,3.653924210357666,0.327
33,0.001,0.004142627374269068,0.9998,3.5644063941955566,0.333
34,0.001,0.0037123875468969346,0.9999,3.5216942405700684,0.331
35,0.001,0.0038130488473922014,0.9998,3.6263687408447267,0.3294
36,0.001,0.003517052310705185,1.0,3.4851746459960937,0.3274
37,0.001,0.003282962903380394,0.9999,3.523517921447754,0.3292
38,0.001,0.0034682781944051387,1.0,3.471761747741699,0.3356
39,0.001,0.0029176332231611013,1.0,3.527727377319336,0.3316
40,0.001,0.0034022605273872613,1.0,3.5028994972229004,0.3298
41,0.001,0.003168955112807453,1.0,3.4396214462280272,0.3328
42,0.001,0.003010856950841844,1.0,3.568133180999756,0.3298
43,0.001,0.002911083611100912,1.0,3.486578465270996,0.3318
44,0.001,0.002935776596330106,1.0,3.4159890403747557,0.3314
45,0.001,0.002944265808351338,0.9999,3.466030258178711,0.3314
46,0.001,0.003147231148928404,0.9999,3.464031414794922,0.3334
47,0.001,0.002961441472172737,1.0,3.4186042320251464,0.3326
48,0.001,0.002814566431567073,1.0,3.563460902404785,0.3294
49,0.001,0.0028262203374877573,1.0,3.5925345962524413,0.3314
50,0.001,0.003076083519309759,0.9999,3.4045352249145506,0.3364
51,0.001,0.0029879352185875176,1.0,3.5267276191711425,0.3288
