epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,5.2630735160827635,0.0118,5.271160815429687,0.0132
2,0.01,4.58381528930664,0.0258,4.8915395874023435,0.034
3,0.01,4.328188691711426,0.0446,4.354230311584472,0.0506
4,0.01,4.155675907135009,0.0584,4.274559190368652,0.0696
5,0.01,4.029990325164795,0.0748,5.472665461730957,0.0578
6,0.01,3.9539117279052736,0.0784,4.102786968231201,0.0744
7,0.01,3.875760008621216,0.089,4.159741148376465,0.0906
8,0.01,3.763377042388916,0.11,4.200371411132813,0.101
9,0.01,3.7134598861694337,0.1146,3.932787356567383,0.1078
10,0.01,3.6301507843017577,0.1302,3.9666416496276855,0.1098
11,0.01,3.5523608139038085,0.1428,3.9776436470031737,0.1236
12,0.01,3.513931147003174,0.1496,3.9778652450561522,0.1306
13,0.01,3.405288800048828,0.1674,3.8544781631469727,0.1212
14,0.01,3.354165537261963,0.1724,3.960034832763672,0.1264
15,0.01,3.260878399658203,0.1946,4.119749035644531,0.1578
16,0.01,3.1662716072082517,0.2022,3.9858518867492676,0.1598
17,0.01,3.1028463050842285,0.2164,3.8352762527465822,0.1624
18,0.01,3.0150657196044923,0.2382,3.766643000793457,0.171
19,0.01,2.940530852127075,0.2482,3.962835952758789,0.166
20,0.01,2.882327718734741,0.2562,3.829396565246582,0.1732
21,0.01,2.8056823822021486,0.2758,3.8975849685668944,0.176
22,0.01,2.7609061744689942,0.2848,3.8431207000732424,0.1788
23,0.01,2.6553144927978516,0.3072,3.6205065841674804,0.1988
24,0.01,2.597288299942017,0.3158,3.676972329711914,0.2002
25,0.01,2.459605158996582,0.335,4.222151122283935,0.2074
26,0.01,2.4371713275909426,0.344,3.956289434051514,0.213
27,0.01,2.3089749198913574,0.3724,4.294352139282227,0.1992
28,0.01,2.274561192703247,0.3854,3.8064660125732424,0.2208
29,0.01,2.1782343364715575,0.4064,4.2790064529418945,0.1992
30,0.01,2.1472947986602784,0.4022,3.959325174713135,0.207
31,0.001,1.6411070053100585,0.5498,3.4317729873657226,0.2746
32,0.001,1.409494595336914,0.6166,3.393167276000977,0.2806
33,0.001,1.3515679584503173,0.6334,3.440078591918945,0.2796
34,0.001,1.3030552108764648,0.6394,3.4458750205993653,0.2784
35,0.001,1.24020991897583,0.6642,3.477731140899658,0.2798
36,0.001,1.2080898490905763,0.6618,3.5098761894226076,0.2782
37,0.001,1.190508376312256,0.6664,3.5463905181884767,0.2794
38,0.001,1.1480197204589844,0.6838,3.505526904296875,0.2858
39,0.001,1.104004468536377,0.6968,3.623215608215332,0.2776
40,0.001,1.0728432186126708,0.708,3.634658765411377,0.2808
41,0.001,1.0283380558013917,0.7184,3.7222514694213866,0.2824
42,0.001,0.9915521560668945,0.7282,3.61364501953125,0.2848
43,0.001,0.9812838165283203,0.7358,3.7714830070495604,0.2766
44,0.001,0.947625397491455,0.7466,3.713432424926758,0.2804
45,0.001,0.9386825370788574,0.7454,3.794858766937256,0.2722
46,0.001,0.9062327558517456,0.756,3.7644845771789552,0.28
47,0.001,0.8768553840637207,0.7638,3.740484033203125,0.2798
48,0.001,0.8682192344665527,0.7646,3.7469955001831057,0.2798
49,0.001,0.8237848352432251,0.7834,3.807070616149902,0.2826
50,0.001,0.7860436408996582,0.791,3.808764503479004,0.278
51,0.001,0.7666378244400024,0.8006,3.993778374481201,0.2792
52,0.001,0.7457788635253906,0.8054,3.8219956466674803,0.2838
53,0.001,0.7253373718261719,0.812,3.9485787185668944,0.2804
54,0.001,0.7127372610092163,0.8168,3.8982637908935547,0.2818
55,0.001,0.6778339427947998,0.8252,4.073573054504394,0.2774
56,0.0001,0.6155817653656006,0.8482,3.900566220855713,0.285
57,0.0001,0.6063122673034668,0.857,3.93368871383667,0.2858
58,0.0001,0.5849171783447266,0.8654,3.9197591064453126,0.282
59,0.0001,0.5860769649505615,0.8604,3.95540609664917,0.2828
60,0.0001,0.5727497100830078,0.864,3.979505995941162,0.2808
61,0.0001,0.580376643371582,0.8636,3.840734561157227,0.2846
62,0.0001,0.5613113563537597,0.872,3.9720175216674805,0.282
63,0.0001,0.5873780084609985,0.8594,4.001377565002441,0.2856
64,0.0001,0.5539945892333984,0.8704,3.900587487792969,0.286
65,0.0001,0.5629556077957153,0.8768,3.9905861930847166,0.283
66,0.0001,0.5580368022918701,0.8702,3.935478631591797,0.2804
67,0.0001,0.5507799510955811,0.8736,3.968014790344238,0.2832
68,0.0001,0.544618992805481,0.8812,3.981087343597412,0.2844
69,0.0001,0.540515189743042,0.882,3.936814446258545,0.2854
70,0.0001,0.5451338096618652,0.877,3.8891143814086915,0.2866
