epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,5.010419918060303,0.0178,5.338900849914551,0.0312
2,0.01,4.37490538406372,0.0448,5.138265802001953,0.045
3,0.01,4.169005003356934,0.057,5.268502665710449,0.0632
4,0.01,4.052278924942017,0.0688,4.153684819030762,0.0816
5,0.01,3.9398404064178467,0.082,4.318231814575196,0.0852
6,0.01,3.8499201385498045,0.0886,5.138194407653809,0.0898
7,0.01,3.781907135772705,0.1006,3.959357107543945,0.105
8,0.01,3.6794527786254885,0.1216,4.297811967468261,0.109
9,0.01,3.5783193771362303,0.135,5.773136575317383,0.1136
10,0.01,3.5149635761260987,0.15,4.073424197006226,0.1174
11,0.01,3.3906528060913086,0.1612,3.84868602142334,0.1306
12,0.01,3.277572844696045,0.1846,4.383311118316651,0.1452
13,0.01,3.143069900512695,0.2088,3.685906057739258,0.1494
14,0.01,3.0216083667755127,0.2278,4.687070686340332,0.1628
15,0.01,2.8838166271209715,0.26,3.962603337097168,0.158
16,0.01,2.7395846092224123,0.2842,4.084578108215332,0.1704
17,0.01,2.597895768737793,0.3112,4.541991222381592,0.1632
18,0.01,2.3697320713043215,0.3652,4.1454361663818355,0.1672
19,0.01,2.1685980419158937,0.4058,4.07436503829956,0.186
20,0.01,1.9453637805938722,0.4508,4.66032378692627,0.1626
21,0.01,1.639403758239746,0.5228,4.995720502471924,0.1658
22,0.01,1.5142792961120606,0.5638,5.711055152893066,0.1752
23,0.01,1.268142670059204,0.6256,4.800034733581543,0.1766
24,0.01,1.0509699125289917,0.6904,5.083884767150879,0.1798
25,0.01,0.7569875084877015,0.7746,5.181709555053711,0.165
26,0.01,0.6592063787460327,0.8046,5.508929824066162,0.1694
27,0.01,0.48357298583984376,0.8586,6.346234052276611,0.1694
28,0.01,0.33387987871170044,0.9044,5.732797593688965,0.1946
29,0.01,0.335421324467659,0.9034,6.62296102142334,0.1654
30,0.01,0.46225102090835574,0.8578,6.439698789215088,0.1644
31,0.001,0.1202907095193863,0.9722,4.927468460083007,0.2226
