epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.1,4.511668671417237,0.0291,4.334463021469116,0.0486
2,0.1,4.189111261749267,0.0546,4.122867182159424,0.0598
3,0.1,4.051385432815552,0.0703,4.014265321350098,0.0782
4,0.1,3.976922905731201,0.0781,3.957935329055786,0.0876
5,0.1,3.925956690979004,0.0857,3.855470223236084,0.0988
6,0.1,3.8644988273620604,0.0991,3.8714087585449217,0.105
7,0.1,3.809764224243164,0.1064,3.865538777923584,0.1022
8,0.1,3.759070666885376,0.1122,3.8022531440734864,0.1048
9,0.1,3.727116544342041,0.1222,3.6890039813995363,0.135
10,0.1,3.685235911178589,0.1261,3.740822184753418,0.1188
11,0.1,3.644340284729004,0.1338,3.689612685394287,0.1332
12,0.1,3.6063036289215087,0.1389,3.54995489654541,0.1586
13,0.1,3.5907113265991213,0.1401,3.5466673164367677,0.1554
14,0.1,3.5513059467315675,0.15,3.519425644683838,0.1618
15,0.1,3.5435390853881836,0.1556,3.5128709365844726,0.1566
16,0.1,3.517125408935547,0.1493,3.598228244018555,0.1486
17,0.1,3.5069856674194337,0.1557,3.520080624771118,0.1476
18,0.1,3.4949387886047365,0.1557,3.530493199920654,0.1654
19,0.1,3.4837118118286132,0.159,3.482226825714111,0.161
20,0.1,3.4722766723632814,0.1611,3.6859369297027587,0.1302
21,0.1,3.462710087966919,0.1626,3.479092919921875,0.1654
22,0.1,3.446611410522461,0.1631,3.553685398101807,0.157
23,0.1,3.4481750434875487,0.1659,3.460495358276367,0.1582
24,0.1,3.4281135719299316,0.1687,3.7493991889953615,0.1304
25,0.1,3.4216136882781982,0.1706,3.3870953887939454,0.1854
26,0.1,3.4183949111938476,0.1722,3.465852822113037,0.1594
27,0.1,3.4146386543273928,0.1748,3.3188875900268555,0.1948
28,0.1,3.3974750102996825,0.1737,3.3801080184936523,0.1826
29,0.1,3.3912796794891356,0.1727,3.413922735595703,0.1806
30,0.1,3.3776115043640136,0.1806,3.372028311920166,0.1822
31,0.020000000000000004,3.1762610313415527,0.2142,3.217577404022217,0.2182
32,0.020000000000000004,3.130019036483765,0.2248,3.146130584716797,0.2276
33,0.020000000000000004,3.1088299331665037,0.2259,3.205093677520752,0.2128
34,0.020000000000000004,3.0829218185424803,0.2316,3.1155844802856447,0.231
35,0.020000000000000004,3.104858876800537,0.2309,3.1409735664367675,0.2286
36,0.020000000000000004,3.084339598464966,0.2342,3.1608815872192384,0.227
37,0.020000000000000004,3.079089155960083,0.2279,3.128513250732422,0.232
38,0.020000000000000004,3.069738186645508,0.2323,3.165217445373535,0.2206
39,0.020000000000000004,3.072658333969116,0.2305,3.1140682525634764,0.2328
40,0.020000000000000004,3.071324083328247,0.233,3.120887392425537,0.2298
41,0.020000000000000004,3.0438149349212646,0.2395,3.1103093338012697,0.23
42,0.020000000000000004,3.056775121307373,0.2367,3.225791943359375,0.2166
43,0.020000000000000004,3.051450245666504,0.2396,3.131532763671875,0.2326
44,0.020000000000000004,3.057464576721191,0.2454,3.1525656982421877,0.2232
45,0.020000000000000004,3.0495244117736817,0.2422,3.1601606689453123,0.229
46,0.020000000000000004,3.0500067268371582,0.2344,3.142248779296875,0.228
47,0.020000000000000004,3.055456027984619,0.2436,3.1236917766571044,0.236
48,0.020000000000000004,3.0409963401794435,0.2413,3.1202996170043944,0.2292
49,0.020000000000000004,3.0210025150299074,0.2442,3.1208391441345213,0.2364
50,0.020000000000000004,3.0329254096984863,0.2432,3.1532383682250975,0.2274
51,0.020000000000000004,3.0362941024780272,0.2422,3.068547673034668,0.2434
52,0.020000000000000004,3.0271195739746095,0.2437,3.0686506072998045,0.241
53,0.020000000000000004,3.027885652542114,0.2437,3.155259181213379,0.2236
54,0.020000000000000004,3.033601587677002,0.2391,3.091902487182617,0.243
55,0.020000000000000004,3.0259488891601563,0.2452,3.026862205505371,0.2476
56,0.020000000000000004,3.0173445667266847,0.247,3.1545324256896974,0.2226
57,0.020000000000000004,3.0120934852600096,0.246,3.062560614013672,0.245
58,0.020000000000000004,3.004053757095337,0.2501,3.0691061569213867,0.2432
59,0.020000000000000004,3.001763412094116,0.2557,3.157587050628662,0.2258
60,0.020000000000000004,3.002731784439087,0.2538,3.0917904861450194,0.2374
61,0.004000000000000001,2.8743108108520508,0.2766,2.9988798568725588,0.2616
62,0.004000000000000001,2.8463172679901123,0.2821,3.0076582321166994,0.2582
63,0.004000000000000001,2.836396978759766,0.286,3.028647885131836,0.2582
64,0.004000000000000001,2.8269360706329345,0.2838,2.9905605339050294,0.2638
65,0.004000000000000001,2.8282073276519775,0.2891,3.0126368492126465,0.262
66,0.004000000000000001,2.8490742202758788,0.2868,3.011383850097656,0.2626
67,0.004000000000000001,2.811195215988159,0.2922,2.9937748970031737,0.2588
68,0.004000000000000001,2.8149415229797365,0.292,3.003213903808594,0.259
69,0.004000000000000001,2.8127562942504882,0.2811,3.0004686546325683,0.2626
70,0.004000000000000001,2.8031402698516845,0.2892,2.987684452819824,0.268
71,0.004000000000000001,2.803176762008667,0.2905,3.0175586372375487,0.262
72,0.004000000000000001,2.7929287937164307,0.2874,2.9887481803894045,0.2638
73,0.004000000000000001,2.7984456623077394,0.2869,2.973096979522705,0.265
74,0.004000000000000001,2.7930726234436034,0.2897,3.008644556427002,0.2586
75,0.004000000000000001,2.7863763988494874,0.2888,3.0246934455871584,0.2586
76,0.004000000000000001,2.7908394256591795,0.2924,2.9825913299560547,0.2622
77,0.004000000000000001,2.7777678314208982,0.2966,2.971670630645752,0.2624
78,0.004000000000000001,2.7829733783721924,0.2985,2.9794593147277832,0.268
79,0.004000000000000001,2.78912247467041,0.2903,2.988036404418945,0.2626
80,0.004000000000000001,2.7762317363739015,0.2964,2.969737769317627,0.2662
81,0.0008000000000000003,2.7428394439697263,0.3055,2.9573631050109865,0.2724
82,0.0008000000000000003,2.7004847827911376,0.3098,2.962650319671631,0.273
83,0.0008000000000000003,2.709840629577637,0.3165,2.987263751220703,0.268
84,0.0008000000000000003,2.6943812786102295,0.3088,2.9691830963134764,0.2662
85,0.0008000000000000003,2.7138058193206787,0.3068,2.9560228538513185,0.2682
86,0.0008000000000000003,2.701725973892212,0.304,2.9700590133666993,0.2698
87,0.0008000000000000003,2.7099772422790527,0.3087,2.941053520965576,0.2744
88,0.0008000000000000003,2.7054477493286133,0.3054,2.968288791656494,0.2686
89,0.0008000000000000003,2.7195685344696043,0.3087,2.9790908241271974,0.2668
90,0.0008000000000000003,2.7054165740966796,0.3135,2.9509467308044433,0.2686
91,0.0008000000000000003,2.7068488529205323,0.3083,2.966705509185791,0.2698
92,0.0008000000000000003,2.701690503692627,0.308,2.960993051147461,0.2682
