epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,5.610825275421143,0.013,46.14997233886719,0.0104
2,0.01,5.19713773727417,0.0115,5.305849579620362,0.014
3,0.01,4.768837242126465,0.019,4.569824314117431,0.023
4,0.01,4.5603811645507815,0.0315,4.720718838500977,0.0356
5,0.01,4.399419250488282,0.0355,4.752369020080566,0.0456
6,0.01,4.2955901794433595,0.042,4.361006327819824,0.056
7,0.01,4.203434295654297,0.052,4.2254592880249024,0.0522
8,0.01,4.099779449462891,0.071,4.2393543212890625,0.0666
9,0.01,4.021018836975098,0.0735,4.201085731506348,0.072
10,0.01,3.943478157043457,0.084,4.25519235458374,0.0796
11,0.01,3.8561544914245607,0.0995,4.345418265533447,0.0704
12,0.01,3.785043575286865,0.1025,4.193224575805664,0.08
13,0.01,3.7460167312622072,0.1085,4.168863050079346,0.0818
14,0.01,3.6797305450439453,0.1125,4.1015882949829106,0.095
15,0.01,3.589166915893555,0.1285,4.4404292510986325,0.096
16,0.01,3.5308286209106443,0.1395,4.192524992370606,0.0976
17,0.01,3.491408170700073,0.153,4.169800431060791,0.1052
18,0.01,3.4269646263122557,0.1575,4.154262126922608,0.0998
19,0.01,3.3303606414794924,0.1625,4.3694409645080565,0.1038
20,0.01,3.276545042037964,0.1795,4.148091311645508,0.1072
21,0.01,3.155291732788086,0.1885,4.267313600158691,0.1144
22,0.01,3.1298363227844237,0.206,4.164184579467774,0.1204
23,0.01,3.0341474418640138,0.218,4.20383756942749,0.1196
24,0.01,2.9780398750305177,0.2445,4.332268394470215,0.1092
25,0.01,2.906325927734375,0.248,4.347438893890381,0.1162
26,0.01,2.79487601852417,0.267,4.335924574279785,0.1192
27,0.01,2.7258075408935545,0.279,4.524597636413574,0.1282
28,0.01,2.583171726226807,0.312,4.5682029624938965,0.1248
29,0.01,2.6039307327270507,0.308,4.552967290496826,0.1296
30,0.01,2.4932703189849854,0.327,4.518035845947265,0.1362
31,0.001,2.0193239727020265,0.4495,4.178467352294922,0.1534
32,0.001,1.7444661083221435,0.535,4.247898638916015,0.1598
33,0.001,1.7036263809204102,0.543,4.196998295593262,0.1626
34,0.001,1.6300424375534057,0.5675,4.262458447265625,0.1608
35,0.001,1.5703127241134645,0.5785,4.280697674560547,0.1606
36,0.001,1.5344330158233643,0.592,4.341465171813965,0.162
37,0.001,1.487719388961792,0.613,4.363643237304688,0.164
38,0.001,1.4216209907531738,0.63,4.356725821685791,0.1634
39,0.001,1.4579642181396484,0.604,4.3941522964477535,0.1622
40,0.001,1.415508327484131,0.6275,4.44900793914795,0.1624
41,0.001,1.3550717010498048,0.634,4.450025628662109,0.1646
42,0.001,1.3131189651489257,0.6625,4.4411822731018065,0.1646
43,0.001,1.304463369369507,0.6655,4.503125955200195,0.162
44,0.001,1.2799567451477052,0.6605,4.495244175720215,0.1646
45,0.001,1.281691047668457,0.665,4.509125961303711,0.1654
46,0.001,1.2270813465118409,0.6755,4.529713041687011,0.1676
47,0.001,1.1922593841552733,0.695,4.529819470214844,0.1678
48,0.001,1.2393981266021727,0.673,4.603393082427979,0.1632
49,0.001,1.1510459117889404,0.701,4.5677121627807615,0.1662
50,0.001,1.100014401435852,0.7195,4.5998691535949705,0.1638
51,0.001,1.1472980690002441,0.702,4.641537130737305,0.1644
52,0.001,1.0707344980239868,0.724,4.67112621307373,0.1688
53,0.001,1.0584712553024291,0.733,4.696199822998047,0.1624
54,0.001,1.0057147216796876,0.744,4.701746536254883,0.1566
55,0.001,0.9604296722412109,0.7705,4.744427259063721,0.1596
56,0.0001,0.8995152425765991,0.785,4.707940895080567,0.1604
57,0.0001,0.8852001457214356,0.796,4.707646492004394,0.1664
