epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,5.165243808746338,0.01182763671875,33.32437196044922,0.01
2,0.01,5.115153694152832,0.01485546875,6.795998560333252,0.0176
3,0.01,4.689080272674561,0.02767529296875,4.771331651306152,0.0234
4,0.01,4.46148575592041,0.038583984375,4.686000004577637,0.034
5,0.01,4.328780933380127,0.0387314453125,4.597366115570068,0.0406
6,0.01,4.227728790283203,0.04881689453125,4.302521022033692,0.0562
7,0.01,4.1613256454467775,0.05239404296875,4.35476319732666,0.0622
8,0.01,4.085706506729126,0.06537255859375,4.318559294128418,0.068
9,0.01,4.0445442924499515,0.0746689453125,4.376596179962158,0.0622
10,0.01,4.007897510528564,0.07291796875,4.360626139068604,0.0728
11,0.01,3.92740824508667,0.08257958984375,4.208785705947876,0.0796
12,0.01,3.8814337882995606,0.0871865234375,4.111612189865112,0.0818
13,0.01,3.844810754776001,0.0933681640625,4.124396413421631,0.0866
14,0.01,3.791629259109497,0.09946142578125,4.1207738986969,0.0918
15,0.01,3.7854158039093018,0.1069521484375,4.079874822998047,0.0914
16,0.01,3.719696968078613,0.1126552734375,4.086066310501098,0.0848
17,0.01,3.7126552429199218,0.1071494140625,4.119439472961425,0.101
18,0.01,3.70219677734375,0.10971337890625,4.072000222015381,0.1014
19,0.01,3.6707873916625977,0.11359716796875,4.053048440551758,0.0958
20,0.01,3.6259915199279784,0.12629345703125,4.06810397644043,0.1006
21,0.01,3.5884614639282226,0.12631640625,4.122021063995361,0.1022
22,0.01,3.574823427200317,0.1311982421875,4.031094802856446,0.1046
23,0.01,3.571742534637451,0.1319853515625,3.9441103523254393,0.112
24,0.01,3.5204507026672363,0.133580078125,3.9956099723815917,0.1116
25,0.01,3.423312889099121,0.1580126953125,3.9575609413146973,0.115
26,0.01,3.4086231689453124,0.15765234375,4.05640701751709,0.1132
27,0.01,3.3722910690307617,0.1724326171875,4.003924920654297,0.1222
28,0.01,3.3007950973510742,0.1836845703125,4.03622654876709,0.131
29,0.01,3.355219425201416,0.171369140625,4.048380497741699,0.1282
30,0.01,3.2557395820617674,0.1939892578125,3.9815864700317385,0.1262
31,0.001,3.158651596069336,0.20399560546875,3.812566613769531,0.147
32,0.001,3.083712760925293,0.2228154296875,3.741170393371582,0.147
33,0.001,2.964131057739258,0.243515625,3.7672479766845703,0.1424
34,0.001,2.967399206161499,0.2486416015625,3.785962408447266,0.1462
35,0.001,3.033979690551758,0.22836279296875,3.8228133934021,0.1492
36,0.001,2.9840962409973146,0.245685546875,3.8237982604980467,0.1466
37,0.001,2.908179204940796,0.25642431640625,3.834649737548828,0.1484
38,0.001,2.924242208480835,0.2630029296875,3.810012738037109,0.1516
39,0.001,2.878753797531128,0.2739775390625,3.80217703704834,0.1482
40,0.001,2.917281360626221,0.260318359375,3.8085834381103516,0.1552
41,0.001,2.9092762947082518,0.26498046875,3.82438988571167,0.147
42,0.001,2.8763292179107665,0.26945458984375,3.7785432556152343,0.1522
43,0.001,2.9129941902160645,0.26327392578125,3.8593399856567383,0.151
44,0.001,2.890384750366211,0.2662880859375,3.8065434768676756,0.1534
45,0.001,2.9736053104400635,0.2409658203125,3.8089650619506834,0.1532
46,0.001,2.837751468658447,0.28577392578125,3.8073975494384764,0.1512
47,0.001,2.8886171531677247,0.264298828125,3.7849678466796877,0.1546
48,0.001,2.8686055908203123,0.27026953125,3.8075234298706055,0.1506
49,0.001,2.7968798828125,0.29022119140625,3.799552565765381,0.1564
50,0.001,2.8184363136291504,0.284337890625,3.8042460021972655,0.1578
51,0.001,2.886315849304199,0.26811865234375,3.8158784973144533,0.154
52,0.001,2.8981101398468017,0.26131298828125,3.8405107772827147,0.1552
53,0.001,2.8096300868988036,0.27902734375,3.80345845413208,0.1542
54,0.001,2.716334489822388,0.30339501953125,3.7895786987304687,0.16
55,0.001,2.7240991535186767,0.3063203125,3.8322600563049316,0.1508
56,0.0001,2.693441692352295,0.30847607421875,3.8111455223083497,0.1524
57,0.0001,2.670301372528076,0.3132734375,3.804514015197754,0.1548
58,0.0001,2.6918159370422363,0.32060546875,3.777853456878662,0.152
59,0.0001,2.7520403423309325,0.31781884765625,3.777577619934082,0.1588
60,0.0001,2.807342948913574,0.2930810546875,3.781184390258789,0.1602
61,0.0001,2.8043436164855957,0.2752744140625,3.8000184631347658,0.1562
62,0.0001,2.7360925788879396,0.28030712890625,3.774689093017578,0.1584
63,0.0001,2.892816884994507,0.2603076171875,3.8136307235717775,0.1554
64,0.0001,2.7601637668609618,0.29528564453125,3.8010086296081544,0.1572
65,0.0001,2.6264089851379393,0.34411279296875,3.8011295333862303,0.159
66,0.0001,2.7537283210754393,0.31079736328125,3.7838814979553224,0.1558
67,0.0001,2.6918268852233886,0.32002001953125,3.7822105758666993,0.16
68,0.0001,2.7498164215087892,0.3006611328125,3.8009355422973634,0.1564
69,0.0001,2.6282363166809084,0.3454619140625,3.7925347900390625,0.1576
70,0.0001,2.728542167663574,0.299091796875,3.768463021850586,0.1612
71,0.0001,2.6527645530700683,0.32569921875,3.7826035552978516,0.1584
