epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.363108143234253,0.0412,4.290079792785645,0.0464
2,0.01,4.122329441833496,0.0608,4.109969356536865,0.0676
3,0.01,3.9301605598449707,0.086,3.9700098510742188,0.0838
4,0.01,3.824212097167969,0.0996,3.8139035125732423,0.1044
5,0.01,3.7228733684539796,0.1158,3.8008366516113283,0.113
6,0.01,3.6435924808502196,0.1317,3.801213446044922,0.1218
7,0.01,3.569809415435791,0.1454,3.663369882965088,0.1412
8,0.01,3.512512536621094,0.151,3.6409339599609374,0.1412
9,0.01,3.458137289428711,0.1639,3.5032469474792483,0.1618
10,0.01,3.3978950340270995,0.1736,3.528587526702881,0.16
11,0.01,3.3390946479797363,0.1839,3.530497608947754,0.1586
12,0.01,3.3021578578948976,0.1876,3.3455771530151366,0.1854
13,0.01,3.2441413276672364,0.1925,3.3871984069824217,0.1916
14,0.01,3.21352632522583,0.204,3.3500474571228027,0.1932
15,0.01,3.1707380153656004,0.2143,3.3951531341552736,0.1852
16,0.01,3.1201768966674805,0.2202,3.411527774810791,0.1844
17,0.01,3.10017117767334,0.2241,3.284005662536621,0.2098
18,0.01,3.075333829498291,0.2283,3.2594301834106445,0.2046
19,0.01,3.034725799179077,0.2332,3.231608126068115,0.2078
20,0.01,3.0005102489471436,0.2409,3.22458846282959,0.2222
21,0.01,2.989084842300415,0.2459,3.2485706085205077,0.2128
22,0.01,2.9586742774963377,0.2525,3.2392920516967774,0.2194
23,0.01,2.9255987865448,0.2589,3.203189065551758,0.2214
24,0.01,2.9045145622253417,0.26,3.2230013877868653,0.2164
25,0.01,2.8722906368255616,0.263,3.148459348297119,0.238
26,0.01,2.842725952911377,0.2733,3.139168483352661,0.231
27,0.01,2.8310123413085937,0.2723,3.11717758102417,0.2398
28,0.01,2.7901212295532227,0.2835,3.0916137313842773,0.2382
29,0.01,2.7764731410980223,0.2889,3.15323635635376,0.2362
30,0.01,2.7501105125427245,0.2856,3.143968864440918,0.2394
31,0.001,2.5176756397247315,0.3376,2.9457002662658693,0.2724
32,0.001,2.4511599132537842,0.3556,2.9430775077819824,0.278
33,0.001,2.4260208168029784,0.3586,2.931501296234131,0.2762
34,0.001,2.409729875564575,0.3577,2.9268962005615236,0.2744
35,0.001,2.3961918548583983,0.366,2.934786944580078,0.2724
36,0.001,2.382239596939087,0.3693,2.9309426696777345,0.2748
37,0.001,2.3829535022735597,0.3683,2.942904423522949,0.2784
38,0.001,2.3701879940032957,0.3742,2.9306561614990234,0.2766
39,0.001,2.359256205749512,0.3751,2.9385381912231447,0.27
40,0.001,2.349509708404541,0.374,2.944277470397949,0.2758
41,0.001,2.346651531600952,0.3755,2.916798853302002,0.2802
42,0.001,2.33830856552124,0.3796,2.9729359481811524,0.269
43,0.001,2.328300761413574,0.3862,2.922301348876953,0.2788
44,0.001,2.321161442184448,0.3873,2.943821421813965,0.274
45,0.001,2.3048764446258545,0.3857,2.9331885330200196,0.2804
46,0.001,2.2994189846038817,0.384,2.9258862426757815,0.279
