epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.5270890045166015,0.019,4.39231531829834,0.0334
2,0.01,4.333426315307618,0.0405,4.359488006591797,0.0454
3,0.01,4.250961952209472,0.042,4.323253889465332,0.0422
4,0.01,4.196638336181641,0.054,4.300238176727295,0.0472
5,0.01,4.144484622955322,0.053,4.268223300170899,0.0532
6,0.01,4.096459938049317,0.0615,4.207123460388184,0.0638
7,0.01,4.005461973190307,0.069,4.229232438659668,0.0648
8,0.01,3.9385934104919436,0.079,4.176568972778321,0.064
9,0.01,3.8789462852478027,0.091,4.170375653839112,0.0754
10,0.01,3.7903868713378905,0.1095,4.15663095703125,0.0714
11,0.01,3.730158374786377,0.1095,4.141061616516113,0.0748
12,0.01,3.6737493057250976,0.119,4.09988350982666,0.087
13,0.01,3.6365830249786377,0.1185,4.182102410888672,0.0774
14,0.01,3.5820638122558592,0.1315,4.111552667236328,0.089
15,0.01,3.538560592651367,0.145,4.053573947906494,0.0914
16,0.01,3.528186939239502,0.1335,4.054911938476563,0.097
17,0.01,3.4669358692169188,0.1385,4.075703882598877,0.0944
18,0.01,3.4215679092407227,0.1525,4.098396964263916,0.0904
19,0.01,3.373912612915039,0.1585,4.0835987602233885,0.1006
20,0.01,3.336552732467651,0.165,4.120316225433349,0.0876
21,0.01,3.353666076660156,0.1705,4.1177264541625975,0.095
22,0.01,3.2660471954345702,0.181,4.067851347351074,0.1064
23,0.01,3.2485159950256346,0.172,4.070361192321777,0.1006
24,0.01,3.2222994251251222,0.193,4.132484038543701,0.0974
25,0.01,3.2036180877685547,0.1795,4.118081963348389,0.1056
26,0.01,3.1598647651672365,0.1985,4.147022145080566,0.0976
27,0.01,3.1088740997314455,0.196,4.103721374511719,0.1044
28,0.01,3.0827305297851564,0.191,4.1478073707580565,0.1128
29,0.01,3.045774532318115,0.225,4.207685543060303,0.1002
30,0.01,3.004046033859253,0.22,4.125721202087402,0.1104
31,0.001,2.7353713340759276,0.2855,4.0617956436157225,0.1168
32,0.001,2.671506393432617,0.301,4.044274760437012,0.1186
33,0.001,2.631086112976074,0.3115,4.034409254455566,0.118
34,0.001,2.6100046253204345,0.3095,4.045001316833496,0.1222
