epoch,lr,train_loss,train_acc,val_loss,val_acc
1,0.01,4.105433693101671,0.07318567297965989,3.8790264720916747,0.097
2,0.01,3.7445038914574518,0.12810679143402312,3.7689185279846193,0.118
3,0.01,3.5985048683166503,0.1536349665151702,3.47254827041626,0.161
4,0.01,3.4444902217441133,0.1806034986284044,3.2836004470825197,0.1936
5,0.01,3.383909192996555,0.18951706096596188,3.2483781600952146,0.2048
6,0.01,3.312122480222914,0.20437031810018752,3.1502956787109375,0.2272
7,0.01,3.268823991902669,0.21489900177054935,3.187738828277588,0.2114
8,0.01,3.2255014694213866,0.22220647501945495,3.015591012573242,0.2474
9,0.01,3.1778407275305853,0.2331379857076539,2.9638567359924317,0.2566
10,0.01,3.119545623440213,0.2421375006834666,2.9221904121398925,0.2612
11,0.01,3.0917791151258682,0.2466548059542974,2.93444847946167,0.2542
12,0.01,3.0931586505466035,0.2471490837626987,2.970915379333496,0.2614
13,0.01,3.063626178995768,0.2578919870853424,2.902233525085449,0.2726
14,0.01,3.0441360344780817,0.25988633324305216,2.8451892265319825,0.2808
15,0.01,3.0122920968797473,0.26366862739457025,3.0501023765563966,0.2444
16,0.01,2.966353876241048,0.27257089884810975,2.7996784286499024,0.2928
17,0.01,2.9655415151808,0.27586879652871027,2.814553448486328,0.284
18,0.01,2.9614884268018935,0.27410126436551413,2.77891227722168,0.2932
19,0.01,2.9233123498704696,0.2817780940161811,2.8279024887084963,0.2878
20,0.01,2.8840031605614556,0.2900626875559489,2.846944654846191,0.2802
21,0.01,2.902090340974596,0.28860501891242135,2.8345261840820313,0.296
22,0.01,2.8966026127709283,0.2901773521741231,2.7141227302551267,0.3066
23,0.01,2.854601893022325,0.2953843307667308,2.7127698791503905,0.308
24,0.01,2.8268216991848414,0.3014075209617615,2.664526850891113,0.32
25,0.01,2.8783814130147296,0.29660496901936,2.694076412963867,0.3106
26,0.01,2.8519081595526803,0.2977616624143389,2.7230347343444823,0.3104
27,0.01,2.8316495920817055,0.30343956389427185,2.6864101867675783,0.3188
28,0.01,2.837169357638889,0.30400228050814737,2.712740503692627,0.31
29,0.01,2.7875578578101265,0.31102183720270793,2.6773680099487303,0.3162
30,0.01,2.7931578967200386,0.3097588573535283,2.621328581237793,0.3324
31,0.001,2.638728039381239,0.34854758082495796,2.4531545417785643,0.3632
32,0.001,2.590379989581638,0.3562646808783213,2.4374449935913085,0.3672
33,0.001,2.5744485469818117,0.3603643467373318,2.435926279449463,0.3678
34,0.001,2.599229879252116,0.35456455346213445,2.4253961013793943,0.3716
35,0.001,2.5879132286071775,0.3579066023190816,2.4190639839172365,0.3734
36,0.001,2.554796352979872,0.36758487305111354,2.430469429779053,0.3706
37,0.001,2.5308992279052736,0.3703129077699449,2.391878777694702,0.3818
38,0.001,2.534356744088067,0.3707078201850255,2.397828175354004,0.3714
39,0.001,2.5363244706895616,0.37060428936216566,2.3943667877197266,0.3794
40,0.001,2.5335849296569823,0.37112463584476046,2.3953516731262208,0.3736
41,0.001,2.5338925682491724,0.37234795087178546,2.399306425476074,0.372
42,0.001,2.515678507147895,0.3728085727161831,2.387643297576904,0.3776
43,0.001,2.5041259312947592,0.37583369139035544,2.411268370056152,0.374
44,0.001,2.5068581632826064,0.3770908032099406,2.411008557891846,0.3742
45,0.001,2.496821945995755,0.3750577794233958,2.3872168411254884,0.38
46,0.001,2.52477713953654,0.37372950653235115,2.3866196868896483,0.3788
47,0.001,2.5147785909016926,0.3764206649038527,2.3720564987182615,0.3796
48,0.001,2.5091364048428004,0.37446468662156,2.4005275856018065,0.3734
49,0.001,2.5264033185746935,0.3708479194217258,2.376957893371582,0.381
50,0.001,2.493068031607734,0.37857693203820125,2.354097660827637,0.3882
51,0.001,2.452071535068088,0.38780713471306694,2.378238929748535,0.3764
52,0.001,2.5602736612531873,0.3679304840087891,2.367010712432861,0.3842
53,0.001,2.501589360809326,0.3777310371716817,2.3814358085632326,0.387
54,0.001,2.4672391069200303,0.3841795507589976,2.349970289993286,0.385
55,0.001,2.5058493242475723,0.37521125418345136,2.3401593296051026,0.391
56,0.0001,2.4583371838463677,0.38877720046573216,2.3289239524841308,0.3932
57,0.0001,2.4395189494662817,0.3918465584013197,2.3329301788330077,0.3898
58,0.0001,2.442902908367581,0.39157741770214505,2.329678108215332,0.3898
59,0.0001,2.4212231103897093,0.39456841498480905,2.320381943511963,0.3928
60,0.0001,2.4122043810102674,0.39917031797303093,2.326034001159668,0.3904
61,0.0001,2.4328088554382323,0.3936886638217502,2.3249948776245115,0.3916
62,0.0001,2.428935456381904,0.3938680056465997,2.3238602462768556,0.3936
63,0.0001,2.467008652157254,0.3890918347040812,2.329677815246582,0.3912
64,0.0001,2.4223371902041966,0.39510972051620485,2.327875566101074,0.3918
65,0.0001,2.453539564641317,0.3897343197769589,2.3253357849121095,0.3936
66,0.0001,2.4055473905351428,0.3967431314521366,2.3235757801055907,0.3926
67,0.0001,2.434439734861586,0.3938216471936968,2.3208745880126953,0.3918
68,0.0001,2.3949192089716593,0.3981749801635742,2.3187499221801757,0.3932
69,0.0001,2.3924639752705894,0.39821658487319944,2.309292636871338,0.397
70,0.0001,2.437520591523912,0.39217532948387995,2.318679928588867,0.3928
71,0.0001,2.4524095798068575,0.39150435847706266,2.31644197845459,0.396
72,0.0001,2.4176238546583386,0.3943901018884447,2.3198302558898924,0.391
73,0.0001,2.4397952240837943,0.3948295939127604,2.3181258247375487,0.391
74,0.0001,2.426142122989231,0.39493366913265654,2.3141382888793944,0.3944
75,0.0001,2.4592288221995036,0.38963064252005686,2.325927986907959,0.3926
76,1e-05,2.426863371149699,0.3941273148854574,2.315711371612549,0.3948
77,1e-05,2.4119991200341118,0.39761478850046794,2.312686208343506,0.395
78,1e-05,2.4473430637995404,0.39043794615003796,2.3140155570983887,0.3954
79,1e-05,2.4152685552808975,0.3954414205763075,2.316044239807129,0.3936
80,1e-05,2.3921441319147747,0.39967929125891793,2.314049914550781,0.3944
81,1e-05,2.444944911702474,0.3922956427865558,2.3128751953125,0.3944
82,1e-05,2.4587764062245685,0.3922339331494437,2.313070093536377,0.3948
83,1e-05,2.400476876703898,0.39991041656070286,2.31081422958374,0.394
84,1e-05,2.428492825486925,0.39612708689371745,2.3129103561401365,0.3942
85,1e-05,2.418230957370334,0.3966909738434686,2.3134596939086913,0.3946
86,1e-05,2.398361748186747,0.39945857946077984,2.3121256484985353,0.3944
87,1e-05,2.4371162858963014,0.3936401390287611,2.3126958770751953,0.3932
88,1e-05,2.4040370714823407,0.39946890936957463,2.3121429656982424,0.395
89,1e-05,2.3887286178588867,0.3993502465221617,2.3118717483520506,0.3946
90,1e-05,2.451414927588569,0.3922876117547353,2.3129273597717286,0.3954
91,1e-05,2.3567867800394695,0.4067175911479526,2.310795500946045,0.3942
92,1e-05,2.424980150286357,0.39548949613571166,2.3121993812561037,0.3946
93,1e-05,2.4296999584409926,0.3974111919615004,2.3107514839172363,0.3954
94,1e-05,2.405474656507704,0.3990810037824843,2.3120273765563963,0.395
95,1e-05,2.408438604736328,0.39720909197595383,2.3113755432128906,0.3952
96,1e-05,2.4223678134494357,0.39442190031475494,2.3116674697875976,0.3948
97,1e-05,2.420850683254666,0.3974791507350074,2.3099087432861327,0.3952
98,1e-05,2.3800252470228407,0.40335854125552706,2.311580972290039,0.3954
99,1e-05,2.4277006191253663,0.3980109147866567,2.310764454650879,0.3952
100,1e-05,2.409579032558865,0.398111455821991,2.310610420227051,0.3958
