epoch,train_loss,train_acc,val_loss,val_acc
1,4.516479536437989,0.0238,4.490582971191406,0.0238
2,4.3976983596801755,0.0296,4.301632891845703,0.0398
3,4.2734325370788575,0.04,4.19308112487793,0.0608
4,4.175545221710205,0.056,4.144157464599609,0.0664
5,4.1229373054504395,0.057,4.024882426452637,0.0776
6,4.034348167800903,0.0716,3.9903351219177248,0.075
7,3.9753737937927247,0.0796,3.945755924987793,0.083
8,3.9150460662841797,0.0856,3.9302564407348632,0.0854
9,3.8487806831359865,0.099,3.8129306953430175,0.1052
10,3.7972418724060057,0.1044,3.7918038833618164,0.1044
11,3.725610092926025,0.1198,3.9214829704284666,0.1004
12,3.6881594512939455,0.1256,3.758175549316406,0.1174
13,3.657439532470703,0.1262,3.7357883224487303,0.1228
14,3.572412043762207,0.1408,3.7159627265930175,0.1216
15,3.5315851905822755,0.1446,3.6600795394897463,0.1342
16,3.467363545227051,0.1548,3.6710578247070313,0.1278
17,3.4375265933990478,0.1656,3.651612417602539,0.1364
18,3.3795056747436525,0.1688,3.6409339126586913,0.1354
19,3.3166526256561277,0.1872,3.65995931930542,0.1376
20,3.313959875869751,0.1842,3.679766956329346,0.1358
21,3.263281813812256,0.1952,3.5746148315429687,0.1544
22,3.2178111557006837,0.2056,3.6279593658447267,0.1466
23,3.1557392585754394,0.2088,3.6123287727355957,0.1576
24,3.111532472610474,0.2208,3.70394116897583,0.138
25,3.0649627235412598,0.2334,3.677587103271484,0.1352
26,3.0637125938415526,0.2316,3.6611158645629884,0.1552
27,2.9889059967041014,0.2282,3.620331958770752,0.1518
28,2.925360831451416,0.2474,3.6141889640808107,0.1568
29,2.9089943099975586,0.254,3.625592852020264,0.1528
30,2.8253502906799315,0.2742,3.605524533081055,0.1688
31,2.7787729862213135,0.286,3.6637977531433106,0.1538
32,2.7348975303649903,0.2928,3.630348696899414,0.166
33,2.689305729484558,0.298,3.6057879287719725,0.1692
34,2.609845029830933,0.3192,3.6553319931030273,0.1658
35,2.555073857498169,0.322,3.6151965454101562,0.1692
36,2.4644194942474367,0.3478,3.7183075927734377,0.166
37,2.3622553100585937,0.3626,3.802643766784668,0.1558
38,2.3414886138916016,0.3754,3.7670094421386717,0.1592
39,2.245585638809204,0.3954,3.792634085083008,0.175
40,2.1565819274902345,0.4138,3.910175786590576,0.1572
41,2.1147832984924317,0.4234,3.9885070976257326,0.155
42,2.047746526145935,0.4366,3.933901452636719,0.1696
43,1.910229521560669,0.472,3.8820853294372557,0.1838
44,1.8761484901428223,0.4872,4.041809759521485,0.1706
45,1.8199924583435059,0.5016,4.050866048431397,0.1664
46,1.7136447731018067,0.525,4.0952267105102536,0.172
47,1.6091126403808593,0.559,4.2016025741577145,0.1672
48,1.537707271194458,0.5742,4.343506101989746,0.1628
49,1.4961153945922852,0.593,4.332133194732666,0.1758
50,1.4105242797851563,0.6146,4.4719233963012694,0.169
51,1.380316547012329,0.6184,4.454135758209229,0.1686
52,1.3039480262756347,0.6448,4.4117998733520505,0.1784
53,1.2403187971115113,0.6626,4.557161436462402,0.1706
54,1.214520698928833,0.667,4.55160504989624,0.1798
55,1.046497222137451,0.714,4.6278854187011715,0.1714
56,1.0561191228866578,0.7104,4.8973817489624025,0.1594
57,1.0367309450149536,0.7174,4.6953182159423825,0.1738
58,0.9520823637008667,0.7408,4.789308122253418,0.1742
59,0.9439675472259521,0.742,4.826264136505127,0.173
60,0.9287323635101319,0.7586,4.825326168060303,0.1756
61,0.9257279125213623,0.7492,4.967652004241943,0.1728
62,0.8944872402191162,0.7588,4.948593566894531,0.1642
63,0.8018389986038208,0.7918,4.905851618957519,0.1788
64,0.8117473527431488,0.786,4.9563291511535645,0.1736
65,0.7600119626998901,0.8022,5.069677154541016,0.178
66,0.7970881567001343,0.7898,4.9901250427246095,0.1768
67,0.782378261756897,0.795,4.947179360961914,0.1796
68,0.7343492050647735,0.8098,4.986963635253907,0.1754
69,0.6690543407440186,0.8236,4.99527359161377,0.1726
70,0.7113985380172729,0.8134,5.147017488098145,0.1722
71,0.6998187994003295,0.8184,5.294346723937989,0.1786
72,0.651021093082428,0.833,5.135849923706055,0.1738
73,0.6344909031867981,0.8352,5.26615802154541,0.174
74,0.6376905281543732,0.8278,5.2761291397094725,0.177
75,0.5587374651908874,0.8608,5.1102794143676755,0.1744
76,0.6350325959205627,0.8362,5.326524868774414,0.1684
77,0.6153076837539673,0.8404,5.400839707946777,0.1758
78,0.6406133214950561,0.827,5.181971138000488,0.1706
79,0.6806188873291016,0.8264,5.295420303344726,0.1744
80,0.573598315024376,0.8478,5.273686190795899,0.1826
81,0.503511620426178,0.8682,5.413874569702148,0.166
82,0.5375300949335098,0.8618,5.405685041809082,0.1704
83,0.5367672875404358,0.8632,5.41089010925293,0.1664
84,0.5519895182847977,0.856,5.394618824768067,0.1794
85,0.5546696981132031,0.8532,5.200238787841797,0.1742
86,0.5097341071367264,0.8708,5.379281649780274,0.1774
87,0.5043901501655579,0.87,5.4138599609375,0.1804
88,0.5326405200958252,0.8662,5.250964256286621,0.1746
89,0.49752451753616334,0.8734,5.3809688232421875,0.1742
90,0.4589787366449833,0.8764,5.535262249755859,0.1734
91,0.47407952604293824,0.8812,5.478646562194824,0.1766
92,0.45676211185455323,0.8778,5.486119949340821,0.1816
93,0.4987707847118378,0.8748,5.329070072937012,0.183
94,0.47927991676330567,0.8762,5.477755859375,0.1636
95,0.5235484755277634,0.8648,5.288790733337402,0.1846
96,0.42729038124084473,0.8802,5.5559655456542965,0.1798
97,0.5204305621147156,0.8622,5.3814332397460936,0.1772
98,0.43642692518234255,0.8824,5.155788510131836,0.1856
99,0.4148996931895614,0.8894,5.447688314819336,0.1784
100,0.42076769218444826,0.8918,5.493079962158203,0.1814
