experiment_id,config_id,collection,dataset,model,k,subset_seed,train_seed,augmentation,epochs,best_epoch,train_acc_at_best,best_val_acc,test_acc,gap_train_val,test_loss,guided_mode,neighbor_file,neighbor_k,neighbor_rank_window,pair_sampling,mixup_alpha,mix_prob,mix_warmup_epochs,anchor_selection,anchor_top_pct,anchor_score_power,summary_path,metrics_path,best_model_path
cifar100/vit/k100/cutmix/e100_s0_t0_c15e1be9f,15e1be9f,cifar100/vit/k100/cutmix,cifar100,vit,100,0,0,cutmix,100,78,0.267167,0.2684,0.2785,-0.00123311,2.93465,,,,,,0.1,,,,,,results/experiments/cifar100/vit/k100/cutmix/e100_s0_t0_c15e1be9f/summary.json,results/experiments/cifar100/vit/k100/cutmix/e100_s0_t0_c15e1be9f/metrics.csv,results/experiments/cifar100/vit/k100/cutmix/e100_s0_t0_c15e1be9f/checkpoint_best.pt
cifar100/vit/k100/mixup/e100_s0_t0_c38b66a9d,38b66a9d,cifar100/vit/k100/mixup,cifar100,vit,100,0,0,mixup,100,55,0.204171,0.243,0.2493,-0.038829,3.07497,,,,,,1,,,,,,results/experiments/cifar100/vit/k100/mixup/e100_s0_t0_c38b66a9d/summary.json,results/experiments/cifar100/vit/k100/mixup/e100_s0_t0_c38b66a9d/metrics.csv,results/experiments/cifar100/vit/k100/mixup/e100_s0_t0_c38b66a9d/checkpoint_best.pt
cifar100/vit/k100/none/e100_s0_t0_ca393dd2b,a393dd2b,cifar100/vit/k100/none,cifar100,vit,100,0,0,none,100,66,0.4201,0.292,0.2983,0.1281,2.87448,,,,,,0.1,,,,,,results/experiments/cifar100/vit/k100/none/e100_s0_t0_ca393dd2b/summary.json,results/experiments/cifar100/vit/k100/none/e100_s0_t0_ca393dd2b/metrics.csv,results/experiments/cifar100/vit/k100/none/e100_s0_t0_ca393dd2b/checkpoint_best.pt
cifar100/vit/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_c85954457,85954457,cifar100/vit/k100/simcutmix,cifar100,vit,100,0,0,simcutmix,100,66,0.290913,0.2704,0.2785,0.0205127,2.89293,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,1,0,,,,results/experiments/cifar100/vit/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_c85954457/summary.json,results/experiments/cifar100/vit/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_c85954457/metrics.csv,results/experiments/cifar100/vit/k100/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_c85954457/checkpoint_best.pt
cifar100/vit/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c690238f9,690238f9,cifar100/vit/k100/simmixup,cifar100,vit,100,0,0,simmixup,100,93,0.330574,0.268,0.271,0.0625736,2.95015,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,1,0,,,,results/experiments/cifar100/vit/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c690238f9/summary.json,results/experiments/cifar100/vit/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c690238f9/metrics.csv,results/experiments/cifar100/vit/k100/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c690238f9/checkpoint_best.pt
cifar100/vit/k20/cutmix/e100_s0_t0_c1b567a91,1b567a91,cifar100/vit/k20/cutmix,cifar100,vit,20,0,0,cutmix,100,55,0.186908,0.1256,0.1243,0.0613082,3.89321,,,,,,0.1,,,,,,results/experiments/cifar100/vit/k20/cutmix/e100_s0_t0_c1b567a91/summary.json,results/experiments/cifar100/vit/k20/cutmix/e100_s0_t0_c1b567a91/metrics.csv,results/experiments/cifar100/vit/k20/cutmix/e100_s0_t0_c1b567a91/checkpoint_best.pt
cifar100/vit/k20/mixup/e100_s0_t0_cedd5313d,edd5313d,cifar100/vit/k20/mixup,cifar100,vit,20,0,0,mixup,100,51,0.145969,0.1232,0.1228,0.0227691,3.84334,,,,,,1,,,,,,results/experiments/cifar100/vit/k20/mixup/e100_s0_t0_cedd5313d/summary.json,results/experiments/cifar100/vit/k20/mixup/e100_s0_t0_cedd5313d/metrics.csv,results/experiments/cifar100/vit/k20/mixup/e100_s0_t0_cedd5313d/checkpoint_best.pt
cifar100/vit/k20/none/e100_s0_t0_c234a1152,234a1152,cifar100/vit/k20/none,cifar100,vit,20,0,0,none,100,64,0.3955,0.1256,0.1264,0.2699,4.1567,,,,,,0.1,,,,,,results/experiments/cifar100/vit/k20/none/e100_s0_t0_c234a1152/summary.json,results/experiments/cifar100/vit/k20/none/e100_s0_t0_c234a1152/metrics.csv,results/experiments/cifar100/vit/k20/none/e100_s0_t0_c234a1152/checkpoint_best.pt
cifar100/vit/k20/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cabed54d6,abed54d6,cifar100/vit/k20/simcutmix,cifar100,vit,20,0,0,simcutmix,100,46,0.191226,0.1252,0.1242,0.0660256,3.84292,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,1,0,,,,results/experiments/cifar100/vit/k20/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cabed54d6/summary.json,results/experiments/cifar100/vit/k20/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cabed54d6/metrics.csv,results/experiments/cifar100/vit/k20/simcutmix/class_agnostic_k40_r21-40/e100_s0_t0_cabed54d6/checkpoint_best.pt
cifar100/vit/k20/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c7bf54d86,7bf54d86,cifar100/vit/k20/simmixup,cifar100,vit,20,0,0,simmixup,100,64,0.234877,0.1318,0.1296,0.103077,3.86875,class_agnostic,neighbors_class_agnostic_K40.pt,20,21-40,uniform,1,1,0,,,,results/experiments/cifar100/vit/k20/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c7bf54d86/summary.json,results/experiments/cifar100/vit/k20/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c7bf54d86/metrics.csv,results/experiments/cifar100/vit/k20/simmixup/class_agnostic_k40_r21-40/e100_s0_t0_c7bf54d86/checkpoint_best.pt
