<<<<<<< HEAD
epoch,train_loss,train_acc,val_loss,val_acc
1,4.440901902770996,0.0291,4.285955193328857,0.0464
2,4.234344860076904,0.0522,4.1443794754028325,0.0612
3,4.097817352294922,0.0648,4.0447719856262205,0.0732
4,3.9940338203430175,0.0818,3.9080088150024412,0.0866
5,3.893202344894409,0.0927,3.8126065673828125,0.1098
6,3.838103695678711,0.1052,3.8227530410766604,0.1036
7,3.753339988708496,0.114,3.7235781524658202,0.1298
8,3.6760811443328856,0.1247,3.645272817993164,0.1324
9,3.6070568675994874,0.1364,3.5716979469299317,0.1426
10,3.5419915962219237,0.1452,3.5874542068481445,0.1412
11,3.477906286621094,0.1579,3.5163219772338867,0.1588
12,3.4284428981781008,0.1634,3.6059315017700193,0.144
13,3.3676174922943116,0.1777,3.5550725936889647,0.1554
14,3.329312693023682,0.181,3.475255564880371,0.1648
15,3.2883109786987306,0.1919,3.442546337890625,0.1718
16,3.237286874008179,0.2014,3.356686703491211,0.183
17,3.204038136291504,0.2044,3.3756675926208497,0.1814
18,3.1868605010986326,0.2086,3.4064529167175293,0.1756
19,3.107483982849121,0.2188,3.401233827209473,0.1818
20,3.085308159637451,0.2293,3.4198377822875976,0.177
21,3.0452380989074705,0.2304,3.3774418533325195,0.1854
22,2.9884548950195313,0.2412,3.3172088638305666,0.2016
23,2.94052607421875,0.2549,3.319375633239746,0.1984
24,2.9006082950592043,0.2575,3.3450373443603514,0.193
25,2.8730432914733885,0.2619,3.366510768890381,0.2024
26,2.8125144790649412,0.2759,3.3305268173217772,0.1972
27,2.7492541957855225,0.2883,3.339354722595215,0.2032
28,2.691058758544922,0.3016,3.342879461669922,0.2042
29,2.6450270141601564,0.3101,3.3266913803100584,0.2092
30,2.6015628662109376,0.3206,3.3441732666015627,0.2112
31,2.545581900024414,0.3311,3.3770244873046873,0.2056
32,2.4467974739074707,0.3467,3.363050004577637,0.207
33,2.379441159057617,0.3612,3.4230755645751954,0.2062
34,2.3289129194259646,0.3802,3.456629567718506,0.2068
35,2.239555453109741,0.392,3.4543383201599123,0.208
36,2.1932448753356932,0.4054,3.4301799270629885,0.2156
37,2.108691320037842,0.4268,3.527403092956543,0.2156
38,2.031539248275757,0.4445,3.5205660537719727,0.212
39,1.963269515991211,0.459,3.6283224098205564,0.212
40,1.9012023166656493,0.4763,3.64607561416626,0.2158
41,1.8220309047698975,0.4954,3.701311331939697,0.2144
42,1.7781048763275147,0.5101,3.6952733024597166,0.2138
43,1.6689811088562012,0.532,3.8154731941223146,0.2102
44,1.6225547241210938,0.5472,3.732924285888672,0.2168
45,1.5659482460021972,0.5672,3.836869465637207,0.211
46,1.4859452018737793,0.5884,3.9637149543762207,0.2092
47,1.4325948202133179,0.6022,4.081707242584229,0.1968
48,1.3413686269760132,0.6271,4.160001977539062,0.2018
49,1.325516394805908,0.6335,4.010830963134766,0.2144
50,1.2602738796234132,0.6478,4.16063337020874,0.2008
51,1.2193052532196045,0.6664,4.195024282073975,0.2026
52,1.137974301147461,0.6779,4.229278775024414,0.2164
53,1.0869929246902466,0.7038,4.27603021774292,0.2196
54,1.0767050886154175,0.7061,4.245138995361328,0.2182
55,1.0225420893669128,0.7133,4.28164669265747,0.2172
56,1.037363102722168,0.7121,4.359385201263428,0.2116
57,0.960209222984314,0.7359,4.4256201889038085,0.2118
58,0.9357241463661193,0.7433,4.4367353607177735,0.223
59,0.9061920686721802,0.755,4.49198243637085,0.2106
60,0.8822085159301758,0.756,4.684616110229492,0.207
61,0.8482663707733155,0.7675,4.542771423339844,0.2072
62,0.8050322456359863,0.7737,4.56825074005127,0.2164
63,0.819231035709381,0.777,4.523450656127929,0.2072
64,0.7696082142829895,0.7896,4.6519320068359375,0.2216
65,0.7685144264221191,0.7914,4.649089025115967,0.2138
66,0.7441795646667481,0.8021,4.6814985153198245,0.2164
67,0.7301270303726196,0.7983,4.679682821655273,0.2212
68,0.7129346158981323,0.804,4.778994233703613,0.212
69,0.704110908317566,0.8132,4.745441539001465,0.1992
70,0.6913374920845031,0.8121,4.689672887420654,0.2186
71,0.6635020154476166,0.8225,4.767868322753906,0.2202
72,0.6861588901519775,0.813,4.841209721374511,0.2206
73,0.6342799597740173,0.8281,4.859266465759277,0.2108
74,0.6750365940093994,0.8179,4.915161442565918,0.2144
75,0.6513729495048522,0.828,4.7793479354858395,0.221
76,0.6197926703929901,0.8359,4.8525749252319335,0.2264
77,0.600662500667572,0.841,4.850242175292969,0.2152
78,0.6167068838119507,0.8405,4.858265419006347,0.22
79,0.5868990267753601,0.841,5.061250625610351,0.2064
80,0.5830338335990906,0.8423,4.9413854637145995,0.2152
81,0.5739938394546509,0.8405,4.9654525344848635,0.2084
82,0.582757293510437,0.8413,5.012495701599121,0.2136
83,0.5592986359596253,0.853,4.853914254760742,0.2122
84,0.5426203926086426,0.8539,5.089059078216553,0.2074
85,0.5381454430580139,0.8544,5.078340737915039,0.2066
86,0.5167902987480164,0.8617,4.934889665222168,0.2186
87,0.5525896664619446,0.8536,5.094130709075928,0.212
88,0.5328419446468353,0.8581,4.847122802734375,0.2188
89,0.5220607230186463,0.8616,4.877735499572754,0.219
90,0.5421571137905121,0.8547,5.101559968566894,0.2156
91,0.5154681822776794,0.8623,4.95440639038086,0.2284
92,0.5074273296356201,0.8656,4.9560228477478026,0.2172
93,0.48541553659439085,0.8687,5.073297610473633,0.2198
94,0.5061709260940552,0.8661,5.030664479064941,0.215
95,0.4782113970518112,0.8737,4.950930192565918,0.2218
96,0.44390367753505705,0.8794,5.054805799102783,0.2242
97,0.4723658087730408,0.874,5.021647263336182,0.2204
98,0.4648240755558014,0.874,4.996345576477051,0.222
99,0.4627434761047363,0.877,5.113711010742188,0.222
100,0.45863536224365237,0.8751,5.140332530975342,0.2232
=======
epoch,train_loss,train_acc,val_loss,val_acc
1,4.438281234741211,0.0285,4.289753653717041,0.0406
2,4.239311019134521,0.0499,4.145587426757812,0.0572
3,4.109980477905274,0.0615,4.01726909866333,0.0768
4,4.008139747619629,0.0776,3.9114147979736327,0.0882
5,3.926490739440918,0.0859,3.838441682434082,0.103
6,3.8609407711029053,0.0975,3.7786657302856446,0.1166
7,3.7730719165802,0.1117,3.7724532653808596,0.1178
8,3.6835947326660157,0.121,3.6389394981384275,0.1268
9,3.6104203830718995,0.1387,3.6069940307617188,0.1346
10,3.5470699825286864,0.1479,3.570542825317383,0.1444
11,3.4781347785949706,0.1612,3.478219261169434,0.162
12,3.4264070728302003,0.1644,3.556300047302246,0.1434
13,3.3734867462158205,0.1806,3.480693794250488,0.16
14,3.3420285888671875,0.1807,3.4364944442749024,0.1678
15,3.2944997573852537,0.1891,3.4163825439453124,0.1748
16,3.247654357147217,0.1963,3.435150077819824,0.1714
17,3.181384125518799,0.2121,3.3697703674316406,0.1838
18,3.137917300415039,0.2163,3.279091230773926,0.2034
19,3.104758116912842,0.2187,3.337229835510254,0.1952
20,3.079927166748047,0.2218,3.3999359512329104,0.1808
21,3.036128303527832,0.2295,3.3300558250427246,0.197
22,2.973949394226074,0.2377,3.344029465484619,0.1974
23,2.9153906593322754,0.2571,3.318319226837158,0.2016
24,2.8790932899475097,0.2591,3.2704812843322753,0.2052
25,2.8252133037567138,0.275,3.350358583068848,0.1932
26,2.7842697345733645,0.2786,3.340367726135254,0.2004
27,2.7472708625793456,0.2895,3.2737066276550295,0.2076
28,2.65405793762207,0.3075,3.33953349609375,0.1994
29,2.6493937591552736,0.3034,3.32702919921875,0.2156
30,2.5716312759399416,0.3238,3.3354744506835936,0.2082
31,2.5337632801055907,0.3326,3.3643088066101074,0.2084
32,2.481757125854492,0.3402,3.3729498825073243,0.2048
33,2.3918775398254395,0.3604,3.5165261169433593,0.199
34,2.3601972473144532,0.3693,3.4108227867126466,0.2082
35,2.28407777633667,0.3884,3.374492500305176,0.2098
36,2.2287301948547364,0.4019,3.432407314300537,0.2104
37,2.1756259269714358,0.4067,3.438526499938965,0.2266
38,2.092425743484497,0.4253,3.5524670227050783,0.211
39,2.0122356433868407,0.4541,3.5927643180847166,0.2158
40,1.946792081451416,0.462,3.6537489631652833,0.211
41,1.8982624164581299,0.477,3.6625999603271486,0.209
42,1.8146377201080321,0.4989,3.6988287353515625,0.2074
43,1.7227085243225098,0.517,3.81621117477417,0.2082
44,1.6689467658996582,0.5332,3.8143048919677733,0.2112
45,1.641312310886383,0.5445,3.7714449821472167,0.221
46,1.5127215839385986,0.5751,3.9390915214538573,0.2102
47,1.4875697324752808,0.5873,4.00023017578125,0.2074
48,1.3807469024658203,0.6139,4.078420079803466,0.2152
49,1.358448173904419,0.6212,4.014781161499023,0.2176
50,1.2898313235282899,0.639,4.134658286285401,0.2114
51,1.2497791862487793,0.6521,4.094020845031738,0.2106
52,1.190758375930786,0.666,4.2226780471801755,0.2174
53,1.1508424549102783,0.681,4.252394965362549,0.2122
54,1.121507380104065,0.6891,4.261616405487061,0.2148
55,1.0589344200134276,0.7047,4.302251530456543,0.2154
56,1.0325424547195434,0.7112,4.404229053497314,0.2058
57,0.9804510940551758,0.7334,4.392236442565918,0.214
58,0.9353412596225739,0.7429,4.4140662124633785,0.2192
59,0.9157751077651978,0.748,4.511805683135987,0.2142
60,0.9077895500183105,0.7503,4.619098918914795,0.2098
61,0.8649627561569214,0.7634,4.550458477783203,0.2138
62,0.8366874452590942,0.7773,4.569630229187012,0.2124
63,0.8355748371124267,0.7745,4.624987573242188,0.2092
64,0.8100288778305054,0.7837,4.670523078918457,0.2198
65,0.7528293458938599,0.7954,4.77426163482666,0.2014
66,0.7639170881271362,0.7946,4.753908505249023,0.2148
67,0.7645999334335327,0.7961,4.669450602722168,0.2232
68,0.7461237041473389,0.7992,4.682686381530762,0.2114
69,0.723392562675476,0.8055,4.605108668518066,0.216
70,0.6999763523101806,0.8123,4.79992399597168,0.2156
71,0.6764373296737671,0.8183,4.710597240447998,0.2194
72,0.671281016921997,0.8206,4.754956642150879,0.2164
73,0.6698488670349121,0.8178,4.9109857421875,0.2098
74,0.6993770189285279,0.8118,4.795056596374511,0.2116
75,0.6574580571174622,0.8286,4.968979097747803,0.2018
76,0.6338847412109375,0.8332,4.870670813751221,0.2022
77,0.6059543904304504,0.8371,4.935086019897461,0.2168
78,0.6280664752006531,0.8317,4.893875791931152,0.218
79,0.5752327526092529,0.8458,4.969849998474121,0.2152
80,0.5841357708930969,0.8404,4.786101089477539,0.2152
81,0.6172337883949279,0.8328,5.096809414672852,0.207
82,0.5756480171203613,0.846,5.000170426177979,0.216
83,0.5721344975471496,0.8435,4.934525308990478,0.2158
84,0.5492943655967713,0.8498,4.913002041625977,0.219
85,0.5545496150016784,0.8547,4.8355845359802245,0.2208
86,0.5274362103462219,0.8585,5.005575495910644,0.22
