epoch,train_loss,train_acc,val_loss,val_acc,is_best
1,2.5273580169677734,0.145,3.1564073623657225,0.11,True
2,2.4312742233276365,0.18,7.356351731872558,0.1404,True
3,2.2093067932128907,0.23,9.306741131591798,0.1582,True
4,2.0913109016418456,0.215,8.76863158416748,0.169,True
5,2.0241772985458373,0.23,3.8544675178527834,0.1934,True
6,1.8534712886810303,0.33,3.337417310333252,0.1976,True
7,1.840915126800537,0.335,2.970321842575073,0.215,True
8,1.7695758628845215,0.34,3.3633730041503904,0.1986,False
9,1.665155005455017,0.355,3.151827123260498,0.2016,False
10,1.6080062007904052,0.445,2.9889540271759034,0.2206,True
11,1.535843210220337,0.44,2.5689437257766725,0.2422,True
12,1.622859969139099,0.395,2.972271438026428,0.2444,True
13,1.6360096740722656,0.4,2.616544243812561,0.2494,True
14,1.4866423177719117,0.48,2.4241182733535767,0.2514,True
15,1.4989610767364503,0.4,2.532300144958496,0.2574,True
16,1.4276700687408448,0.46,2.846060017776489,0.2268,False
17,1.4907738876342773,0.415,2.6584403858184813,0.2542,False
18,1.4711695575714112,0.46,2.8419469696044923,0.2514,False
19,1.462754592895508,0.46,2.6490032375335693,0.2736,True
20,1.426475772857666,0.455,2.727503395462036,0.2584,False
21,1.4520408535003662,0.515,2.796110659408569,0.2428,False
22,1.3199990367889405,0.495,2.790469715499878,0.2466,False
23,1.2986962699890137,0.515,2.3810086353302,0.2772,True
24,1.3151760292053223,0.515,2.2818939453125,0.2836,True
25,1.2364785003662109,0.54,2.620272156524658,0.2588,False
26,1.2256268548965454,0.525,2.8032153102874755,0.2496,False
27,1.2480402374267578,0.565,3.5478101737976075,0.2114,False
28,1.2685864639282227,0.51,4.162370866775513,0.2088,False
29,1.260174984931946,0.53,3.320108460617065,0.2576,False
30,1.0482550501823424,0.645,3.01510341758728,0.2732,False
