epoch,train_loss,train_acc,val_loss,val_acc
1,2.354574453353882,0.172,2.6536349784851074,0.18
2,1.6003512172698975,0.414,2.448017026138306,0.2052
3,1.1053986897468566,0.606,2.319649007797241,0.2848
4,0.6420477924346923,0.782,2.7171903537750244,0.2552
5,0.3894212346076965,0.882,3.355202970123291,0.2758
6,0.25936884808540345,0.918,3.036028656768799,0.2884
7,0.16549273943901063,0.952,3.808076507949829,0.2486
8,0.14770967638492585,0.958,2.938439938354492,0.2836
9,0.10806840646266937,0.968,3.130701777648926,0.3062
10,0.10275512194633483,0.97,4.522023865509033,0.231
11,0.08043747317790985,0.984,3.4590571254730222,0.266
12,0.07107220673561096,0.982,3.075201972579956,0.3134
13,0.03233808280527592,0.99,3.5802302909851074,0.2666
14,0.025210096195340155,0.996,3.1234496738433837,0.279
15,0.01622057169675827,0.998,3.060886631774902,0.2748
16,0.017479920126497746,0.996,2.924668844985962,0.3164
17,0.013852402713149786,0.996,3.011074214553833,0.3022
18,0.010790281694382429,0.996,2.9822198379516602,0.3038
19,0.006381480036303401,1.0,2.8992893825531008,0.3164
20,0.004384536493569613,1.0,2.8602760009765626,0.3188
21,0.0013642336819320918,1.0,2.8839239658355713,0.321
22,0.001590817159973085,1.0,2.893032698059082,0.3238
23,0.001183696228079498,1.0,2.8688824542999267,0.3256
24,0.0006953484218101949,1.0,2.857271153450012,0.3266
25,0.0010269794245250524,1.0,2.84455829372406,0.3296
26,0.0006334911105223,1.0,2.838348256111145,0.3312
27,0.00047959825256839396,1.0,2.8259703437805177,0.3302
28,0.000514084012946114,1.0,2.8230858110427857,0.331
29,0.0005080565812531859,1.0,2.8211705780029295,0.333
30,0.00037358828994911165,1.0,2.8250087776184083,0.3318
