epoch,train_loss,train_acc,val_loss,val_acc
1,4.396813332366944,0.04832259812802076,7.119976575469971,0.049
2,3.7944017875671388,0.10853637185096741,4.084704161071778,0.1054
3,3.497162978363037,0.1596001093864441,3.7921542739868164,0.1356
4,3.207818119812012,0.212523277425766,4.82953076171875,0.1624
5,2.9942659286499023,0.24962247486114503,4.046608177947998,0.194
6,2.7428223625183104,0.304298730802536,3.1950557083129882,0.223
7,2.514807048034668,0.35481584015488626,3.3373413833618164,0.2468
8,2.3768275396347045,0.3894948492050171,3.745743320846558,0.2592
9,2.1710862197875977,0.43561529731750487,3.674952114868164,0.2674
10,2.0480792003631594,0.4727447143554688,3.4534800888061525,0.3006
11,1.8950386400222778,0.5130101500511169,13.928971252441407,0.2204
12,2.1269401348114014,0.4553572992324829,2.9495343841552732,0.2932
13,1.7379219257354737,0.5644132033348084,3.830825257110596,0.3058
14,1.593361675262451,0.6064079813480378,3.0806490051269533,0.3114
15,1.4917840366363526,0.6329328521728516,3.655617771911621,0.3176
16,1.450715805053711,0.6428626029014587,3.020601794052124,0.3236
17,1.3540413711547852,0.6772796172142029,3.1536362411499024,0.3328
18,1.2044803144454956,0.7190442735671997,3.5119944831848144,0.331
19,1.1588653297424316,0.7328887658119202,3.294915330505371,0.3458
20,1.1442310682296752,0.7358299113273621,3.090406066131592,0.334
21,1.0853566091537477,0.7542433883666992,3.2944588050842287,0.3476
22,1.0758268741607666,0.7577588260650635,2.9358848945617675,0.3506
23,1.0499097072601318,0.7645366216659546,3.632820528793335,0.3516
24,1.0561245776176453,0.7564240051269531,3.6541943496704103,0.3216
25,0.9848859098434448,0.7878064849853516,3.31785813293457,0.3428
26,1.0405430895805359,0.7651602755546569,2.833777157974243,0.3586
27,0.9441599493026733,0.7907036354064941,3.171465003967285,0.354
28,0.9599653958320618,0.7878805381774903,2.676943263244629,0.3498
29,1.0401467100143433,0.7630644283294677,2.63544345703125,0.357
30,1.0024106950759888,0.7723926052093506,3.2207210247039795,0.3342
31,0.9583155909538269,0.7859936676025391,2.6543515056610105,0.37
32,0.9900295928001404,0.7736874966621399,2.6163169662475587,0.3472
33,1.1205571152687073,0.7434692131042481,2.6964775482177736,0.3522
34,0.9638151944160461,0.7859267789840698,2.8833746223449706,0.3492
35,0.9200766140937805,0.7997747573852539,2.527072938537598,0.37
36,0.8953788536071777,0.7937467708587647,2.88202985534668,0.3502
37,0.8736428230762482,0.8085917154312133,2.9791435211181643,0.3404
38,0.9179154622077942,0.7855925140380859,2.5937828033447268,0.3676
39,0.8455587275505065,0.8073318542480469,2.5547867408752443,0.373
40,0.8885947147369385,0.7959488881111145,2.931234738922119,0.3384
41,0.824474381685257,0.8188566150665283,2.7395650749206544,0.3576
42,0.8464912772655487,0.8055420734405517,2.547410626220703,0.3662
43,0.8571146330833435,0.7982550696372985,2.615094158935547,0.3576
44,0.8160418207168579,0.8108234664916992,2.5316620796203613,0.3724
45,0.7983633061408997,0.8239702713012695,3.066775476837158,0.3404
46,0.8790080184936524,0.7944085813522339,2.9833480445861817,0.3448
47,0.8656092768669128,0.7907238784790039,3.230851983642578,0.344
48,0.8563583050727844,0.8023444979667663,2.7462108215332033,0.3602
49,0.8364162207603455,0.8035960205078125,2.668645387649536,0.3582
50,0.7808657479286194,0.8240171113967896,2.582023765182495,0.3546
