epoch,train_loss,train_acc,val_loss,val_acc
1,4.3490012199401855,0.0532,4.37153030090332,0.0636
2,3.634664332962036,0.1269,4.135313034057617,0.0986
3,3.234493444824219,0.1941,6.4229546005249025,0.1188
4,2.8691859832763673,0.262,3.993438791656494,0.167
5,2.5985841747283938,0.3253,4.6677558250427245,0.1778
6,2.2599722999572753,0.398,3.4369647766113283,0.2234
7,2.051882158279419,0.4447,3.6592774101257324,0.244
8,1.8112099271774291,0.5092,3.2181911560058594,0.2636
9,1.504069462966919,0.5845,3.5628028579711915,0.2636
10,1.3289049478530883,0.6305,4.129827141571045,0.2426
11,1.1505669010162354,0.6684,4.08011555480957,0.2678
12,0.9366901205062866,0.7305,3.7891001724243165,0.268
13,0.734620220375061,0.7938,3.808518267059326,0.2754
14,0.6460146609306335,0.8145,3.844090130615234,0.2944
15,0.5336247458457947,0.8431,4.065178603363037,0.282
16,0.4782617010116577,0.8611,4.0113374084472655,0.2906
17,0.434788339138031,0.8726,4.492483255004883,0.2846
18,0.32999415102005003,0.903,4.44990559387207,0.3022
19,0.3032857300758362,0.9102,4.423125395202637,0.2946
20,0.25773460955619815,0.9217,4.3545920997619625,0.2902
21,0.25309939818382265,0.9234,4.4902024131774905,0.295
22,0.21741977787017822,0.9319,4.3460540740966795,0.3008
23,0.20329761958122253,0.9397,5.987607122802735,0.2758
24,0.25494802870750427,0.9223,4.743056048583984,0.2884
25,0.17046295696496963,0.9486,4.785835654449463,0.2862
26,0.14161011174321175,0.957,4.973567744445801,0.2944
27,0.13585963439941406,0.9565,4.608738682556153,0.3042
28,0.15042565544843672,0.9546,4.498512196350098,0.3132
29,0.14285597150325774,0.9568,4.600482708740234,0.3034
30,0.12658913801312446,0.9624,5.4580190521240235,0.2892
31,0.13936327747553587,0.9576,5.0997122924804685,0.3014
32,0.1084241933107376,0.966,5.280835919952392,0.2918
33,0.11857106077671051,0.9622,4.924046948242188,0.2946
34,0.10065352602601052,0.9681,5.322765930175781,0.2976
35,0.11729321866333485,0.9642,5.346349903869629,0.2896
36,0.11901215889453888,0.9641,5.4987944396972654,0.297
37,0.10331301469802856,0.9672,4.994085149383545,0.3048
38,0.09445611184835434,0.9699,4.977304898071289,0.2978
39,0.069402346624434,0.9792,5.373884132385254,0.2822
40,0.09226052420139312,0.9694,5.666273983764649,0.2828
41,0.09386462823748588,0.9689,5.449998300170899,0.2782
42,0.08746710801124573,0.973,5.198544427490234,0.3014
43,0.08297407518625259,0.9743,5.720140762329102,0.284
44,0.08241344012618065,0.9743,5.399240423583985,0.2798
45,0.086935238301754,0.9716,5.188766670227051,0.2964
46,0.07437445352077485,0.9779,5.413978718566894,0.2982
47,0.07781546222567558,0.9748,5.47766612625122,0.2836
48,0.07865210459828377,0.9748,5.72925317993164,0.2888
49,0.0779238912165165,0.9755,5.719327682495117,0.2918
50,0.0921866401642561,0.9709,5.392414382171631,0.2876
